iso3,Date,CPI YoY
ARE,2020-12-01,-2.227863690840307
ARE,2021-01-01,-1.650895120130402
ARE,2021-02-01,-1.650895120130402
ARE,2021-03-01,-1.650895120130402
ARE,2021-04-01,-0.4795647146377873
ARE,2021-05-01,-0.4795647146377873
ARE,2021-06-01,-0.4795647146377873
ARE,2021-07-01,0.5712712765648967
ARE,2021-08-01,0.5712712765648967
ARE,2021-09-01,0.5712712765648967
ARE,2021-10-01,2.313074935722277
ARE,2021-11-01,2.313074935722277
ARE,2021-12-01,2.313074935722277
ARE,2022-01-01,3.573503838209078
ARE,2022-02-01,3.573503838209078
ARE,2022-03-01,3.573503838209078
ARE,2022-04-01,6.032770789108779
ARE,2022-05-01,6.032770789108779
ARE,2022-06-01,6.032770789108779
ARE,2022-07-01,6.923664034648464
