iso3,Date,debt-to-gdp
FIN,2016-03-01,68.649
FIN,2016-04-01,68.649
FIN,2016-05-01,68.649
FIN,2016-06-01,68.649
FIN,2016-07-01,68.649
FIN,2016-08-01,68.649
FIN,2016-09-01,68.649
FIN,2016-10-01,68.649
FIN,2016-11-01,68.649
FIN,2016-12-01,68.649
FIN,2017-01-01,66.581
FIN,2017-02-01,66.581
FIN,2017-03-01,66.581
FIN,2017-04-01,66.581
FIN,2017-05-01,66.581
FIN,2017-06-01,66.581
FIN,2017-07-01,66.581
FIN,2017-08-01,66.581
FIN,2017-09-01,66.581
FIN,2017-10-01,66.581
FIN,2017-11-01,66.581
FIN,2017-12-01,66.581
FIN,2018-01-01,65.278
FIN,2018-02-01,65.278
FIN,2018-03-01,65.278
FIN,2018-04-01,65.278
FIN,2018-05-01,65.278
FIN,2018-06-01,65.278
FIN,2018-07-01,65.278
FIN,2018-08-01,65.278
FIN,2018-09-01,65.278
FIN,2018-10-01,65.278
FIN,2018-11-01,65.278
FIN,2018-12-01,65.278
FIN,2019-01-01,65.241
FIN,2019-02-01,65.241
FIN,2019-03-01,65.241
FIN,2019-04-01,65.241
FIN,2019-05-01,65.241
FIN,2019-06-01,65.241
FIN,2019-07-01,65.241
FIN,2019-08-01,65.241
FIN,2019-09-01,65.241
FIN,2019-10-01,65.241
FIN,2019-11-01,65.241
FIN,2019-12-01,65.241
FIN,2020-01-01,75.415
FIN,2020-02-01,75.415
FIN,2020-03-01,75.415
FIN,2020-04-01,75.415
FIN,2020-05-01,75.415
FIN,2020-06-01,75.415
FIN,2020-07-01,75.415
FIN,2020-08-01,75.415
FIN,2020-09-01,75.415
FIN,2020-10-01,75.415
FIN,2020-11-01,75.415
FIN,2020-12-01,75.415
FIN,2021-01-01,73.247
FIN,2021-02-01,73.247
FIN,2021-03-01,73.247
FIN,2021-04-01,73.247
FIN,2021-05-01,73.247
FIN,2021-06-01,73.247
FIN,2021-07-01,73.247
FIN,2021-08-01,73.247
FIN,2021-09-01,73.247
FIN,2021-10-01,73.247
FIN,2021-11-01,73.247
FIN,2021-12-01,73.247
FIN,2022-01-01,74.034
FIN,2022-02-01,74.034
FIN,2022-03-01,74.034
FIN,2022-04-01,74.034
FIN,2022-05-01,74.034
FIN,2022-06-01,74.034
FIN,2022-07-01,74.034
FIN,2022-08-01,74.034
FIN,2022-09-01,74.034
FIN,2022-10-01,74.034
FIN,2022-11-01,74.034
FIN,2022-12-01,74.034
FIN,2023-01-01,77.302
FIN,2023-02-01,77.302
FIN,2023-03-01,77.302
FIN,2023-04-01,77.302
FIN,2023-05-01,77.302
FIN,2023-06-01,77.302
FIN,2023-07-01,77.302
FIN,2023-08-01,77.302
FIN,2023-09-01,77.302
FIN,2023-10-01,77.302
FIN,2023-11-01,77.302
FIN,2023-12-01,77.302
FIN,2024-01-01,82.53
FIN,2024-02-01,82.53
FIN,2024-03-01,82.53
FIN,2024-04-01,82.53
FIN,2024-05-01,82.53
FIN,2024-06-01,82.53
FIN,2024-07-01,82.53
FIN,2024-08-01,82.53
FIN,2024-09-01,82.53
FIN,2024-10-01,82.53
FIN,2024-11-01,82.53
FIN,2024-12-01,82.53
FIN,2025-01-01,86.441
FIN,2025-02-01,86.441
FIN,2025-03-01,86.441
FIN,2025-04-01,86.441
FIN,2025-05-01,86.441
FIN,2025-06-01,86.441
FIN,2025-07-01,86.441
FIN,2025-08-01,86.441
FIN,2025-09-01,86.441
FIN,2025-10-01,86.441
FIN,2025-11-01,86.441
FIN,2025-12-01,86.441
FRA,1990-01-01,36.791
FRA,1990-02-01,36.791
FRA,1990-03-01,36.791
FRA,1990-04-01,36.791
FRA,1990-05-01,36.791
FRA,1990-06-01,36.791
FRA,1990-07-01,36.791
FRA,1990-08-01,36.791
FRA,1990-09-01,36.791
FRA,1990-10-01,36.791
FRA,1990-11-01,36.791
FRA,1990-12-01,36.791
FRA,1991-01-01,37.772
FRA,1991-02-01,37.772
FRA,1991-03-01,37.772
FRA,1991-04-01,37.772
FRA,1991-05-01,37.772
FRA,1991-06-01,37.772
FRA,1991-07-01,37.772
FRA,1991-08-01,37.772
FRA,1991-09-01,37.772
FRA,1991-10-01,37.772
FRA,1991-11-01,37.772
FRA,1991-12-01,37.772
FRA,1992-01-01,41.705
FRA,1992-02-01,41.705
FRA,1992-03-01,41.705
FRA,1992-04-01,41.705
FRA,1992-05-01,41.705
FRA,1992-06-01,41.705
FRA,1992-07-01,41.705
FRA,1992-08-01,41.705
FRA,1992-09-01,41.705
FRA,1992-10-01,41.705
FRA,1992-11-01,41.705
FRA,1992-12-01,41.705
FRA,1993-01-01,48.158
FRA,1993-02-01,48.158
FRA,1993-03-01,48.158
FRA,1993-04-01,48.158
FRA,1993-05-01,48.158
FRA,1993-06-01,48.158
FRA,1993-07-01,48.158
FRA,1993-08-01,48.158
FRA,1993-09-01,48.158
FRA,1993-10-01,48.158
FRA,1993-11-01,48.158
FRA,1993-12-01,48.158
FRA,1994-01-01,51.58
FRA,1994-02-01,51.58
FRA,1994-03-01,51.58
FRA,1994-04-01,51.58
FRA,1994-05-01,51.58
FRA,1994-06-01,51.58
FRA,1994-07-01,51.58
FRA,1994-08-01,51.58
FRA,1994-09-01,51.58
FRA,1994-10-01,51.58
FRA,1994-11-01,51.58
FRA,1994-12-01,51.58
FRA,1995-01-01,57.802
FRA,1995-02-01,57.802
FRA,1995-03-01,57.802
FRA,1995-04-01,57.802
FRA,1995-05-01,57.802
FRA,1995-06-01,57.802
FRA,1995-07-01,57.802
FRA,1995-08-01,57.802
FRA,1995-09-01,57.802
FRA,1995-10-01,57.802
FRA,1995-11-01,57.802
FRA,1995-12-01,57.802
FRA,1996-01-01,60.595
FRA,1996-02-01,60.595
FRA,1996-03-01,60.595
FRA,1996-04-01,60.595
FRA,1996-05-01,60.595
FRA,1996-06-01,60.595
FRA,1996-07-01,60.595
FRA,1996-08-01,60.595
FRA,1996-09-01,60.595
FRA,1996-10-01,60.595
FRA,1996-11-01,60.595
FRA,1996-12-01,60.595
FRA,1997-01-01,61.985
FRA,1997-02-01,61.985
FRA,1997-03-01,61.985
FRA,1997-04-01,61.985
FRA,1997-05-01,61.985
FRA,1997-06-01,61.985
FRA,1997-07-01,61.985
FRA,1997-08-01,61.985
FRA,1997-09-01,61.985
FRA,1997-10-01,61.985
FRA,1997-11-01,61.985
FRA,1997-12-01,61.985
FRA,1998-01-01,62.103
FRA,1998-02-01,62.103
FRA,1998-03-01,62.103
FRA,1998-04-01,62.103
FRA,1998-05-01,62.103
FRA,1998-06-01,62.103
FRA,1998-07-01,62.103
FRA,1998-08-01,62.103
FRA,1998-09-01,62.103
FRA,1998-10-01,62.103
FRA,1998-11-01,62.103
FRA,1998-12-01,62.103
FRA,1999-01-01,61.42
FRA,1999-02-01,61.42
FRA,1999-03-01,61.42
FRA,1999-04-01,61.42
FRA,1999-05-01,61.42
FRA,1999-06-01,61.42
FRA,1999-07-01,61.42
FRA,1999-08-01,61.42
FRA,1999-09-01,61.42
FRA,1999-10-01,61.42
FRA,1999-11-01,61.42
FRA,1999-12-01,61.42
FRA,2000-01-01,59.721
FRA,2000-02-01,59.721
FRA,2000-03-01,59.721
FRA,2000-04-01,59.721
FRA,2000-05-01,59.721
FRA,2000-06-01,59.721
FRA,2000-07-01,59.721
FRA,2000-08-01,59.721
FRA,2000-09-01,59.721
FRA,2000-10-01,59.721
FRA,2000-11-01,59.721
FRA,2000-12-01,59.721
FRA,2001-01-01,59.324
FRA,2001-02-01,59.324
FRA,2001-03-01,59.324
FRA,2001-04-01,59.324
FRA,2001-05-01,59.324
FRA,2001-06-01,59.324
FRA,2001-07-01,59.324
FRA,2001-08-01,59.324
FRA,2001-09-01,59.324
FRA,2001-10-01,59.324
FRA,2001-11-01,59.324
FRA,2001-12-01,59.324
FRA,2002-01-01,61.255
FRA,2002-02-01,61.255
FRA,2002-03-01,61.255
FRA,2002-04-01,61.255
FRA,2002-05-01,61.255
FRA,2002-06-01,61.255
FRA,2002-07-01,61.255
FRA,2002-08-01,61.255
FRA,2002-09-01,61.255
FRA,2002-10-01,61.255
FRA,2002-11-01,61.255
FRA,2002-12-01,61.255
FRA,2003-01-01,65.363
FRA,2003-02-01,65.363
FRA,2003-03-01,65.363
FRA,2003-04-01,65.363
FRA,2003-05-01,65.363
FRA,2003-06-01,65.363
FRA,2003-07-01,65.363
FRA,2003-08-01,65.363
FRA,2003-09-01,65.363
FRA,2003-10-01,65.363
FRA,2003-11-01,65.363
FRA,2003-12-01,65.363
FRA,2004-01-01,66.877
FRA,2004-02-01,66.877
FRA,2004-03-01,66.877
