date,iso3,yield,spread
2003-03-01,SGP,2.1752380952380954,-1.6167619047619048
2003-04-01,SGP,2.111428571428571,-1.8480952380952385
2003-05-01,SGP,1.921,-1.6376363636363631
2003-06-01,SGP,2.0166666666666666,-1.3176190476190475
2003-07-01,SGP,2.765217391304348,-1.2056916996047429
2003-08-01,SGP,3.5395238095238093,-0.906976190476191
2003-09-01,SGP,3.632727272727273,-0.6415584415584421
2003-10-01,SGP,3.8536363636363635,-0.44922077922077897
2003-11-01,SGP,3.9684210526315793,-0.3310233918128649
2003-12-01,SGP,3.8363636363636364,-0.43136363636363617
2004-01-01,SGP,3.500526315789474,-0.6499736842105261
2004-02-01,SGP,3.2715789473684214,-0.8126315789473675
2004-03-01,SGP,3.056086956521739,-0.7704347826086964
2004-04-01,SGP,3.2809523809523813,-1.066666666666666
2004-05-01,SGP,3.3499999999999996,-1.3647368421052635
2004-06-01,SGP,3.41,-1.3239999999999998
2004-07-01,SGP,3.541818181818182,-0.9562770562770568
2004-08-01,SGP,3.410476190476191,-0.8708874458874454
2004-09-01,SGP,3.2899999999999996,-0.8357142857142859
2004-10-01,SGP,3.2023809523809526,-0.894619047619047
2004-11-01,SGP,3.0195,-1.1745
2004-12-01,SGP,2.6913043478260867,-1.5396047430830038
2005-01-01,SGP,2.809,-1.4125000000000005
2005-02-01,SGP,2.971111111111111,-1.1941520467836257
2005-03-01,SGP,3.1586363636363632,-1.3390909090909098
2005-04-01,SGP,3.041904761904762,-1.2990476190476183
2005-05-01,SGP,2.83,-1.314285714285714
2005-06-01,SGP,2.619545454545454,-1.3786363636363639
2005-07-01,SGP,2.6714285714285717,-1.5060714285714285
2005-08-01,SGP,2.7736363636363635,-1.4889723320158108
2005-09-01,SGP,2.882727272727273,-1.316320346320346
2005-10-01,SGP,2.928095238095238,-1.5354047619047617
2005-11-01,SGP,3.2384999999999997,-1.2965000000000004
2005-12-01,SGP,3.294285714285714,-1.172857142857143
2006-01-01,SGP,3.2988888888888885,-1.1171111111111118
2006-02-01,SGP,3.3339999999999996,-1.2349473684210528
2006-03-01,SGP,3.528695652173913,-1.1952173913043485
2006-04-01,SGP,3.5652631578947367,-1.425263157894737
2006-05-01,SGP,3.494761904761905,-1.6152380952380954
2006-06-01,SGP,3.4672727272727273,-1.6390909090909092
2006-07-01,SGP,3.604285714285714,-1.4832142857142863
2006-08-01,SGP,3.4231818181818183,-1.4533399209486162
2006-09-01,SGP,3.287619047619048,-1.4313809523809513
2006-10-01,SGP,3.179047619047619,-1.5499999999999998
2006-11-01,SGP,3.0827272727272725,-1.5125108225108224
2006-12-01,SGP,3.041,-1.5234999999999999
2007-01-01,SGP,3.0823809523809524,-1.677142857142857
2007-02-01,SGP,3.185,-1.537631578947369
2007-03-01,SGP,2.973181818181818,-1.5913636363636363
2007-04-01,SGP,2.7344999999999997,-1.9593095238095248
2007-05-01,SGP,2.711904761904762,-2.034458874458874
2007-06-01,SGP,2.891904761904762,-2.21095238095238
2007-07-01,SGP,2.933181818181818,-2.0711038961038963
2007-08-01,SGP,2.8709090909090906,-1.803873517786561
2007-09-01,SGP,2.7905,-1.7310789473684207
2007-10-01,SGP,2.7743478260869567,-1.7533794466403156
2007-11-01,SGP,2.8276190476190477,-1.3208809523809526
2007-12-01,SGP,2.7557894736842106,-1.3417105263157896
2008-01-01,SGP,2.3486363636363636,-1.3956493506493506
2008-02-01,SGP,2.3305263157894736,-1.4069736842105263
2008-03-01,SGP,2.2095,-1.3005000000000004
2008-04-01,SGP,2.3436363636363637,-1.331363636363636
2008-05-01,SGP,2.6480952380952383,-1.231904761904762
2008-06-01,SGP,3.5652380952380955,-0.5342857142857138
2008-07-01,SGP,3.4008695652173913,-0.6068577075098815
2008-08-01,SGP,3.13047619047619,-0.755238095238095
2008-09-01,SGP,3.110454545454546,-0.5757359307359304
2008-10-01,SGP,2.9938095238095235,-0.8202813852813855
2008-11-01,SGP,2.4835000000000003,-1.0431666666666666
2008-12-01,SGP,2.113809523809524,-0.30255411255411246
2009-01-01,SGP,2.0373684210526317,-0.48013157894736835
2009-02-01,SGP,1.9884999999999997,-0.8815000000000004
2009-03-01,SGP,2.0613636363636365,-0.7581818181818183
2009-04-01,SGP,2.0595238095238093,-0.8676190476190477
2009-05-01,SGP,2.2115,-1.0815000000000001
2009-06-01,SGP,2.6486363636363635,-1.0731818181818182
2009-07-01,SGP,2.5213043478260873,-1.0409683794466402
2009-08-01,SGP,2.5125,-1.074642857142857
2009-09-01,SGP,2.432380952380952,-0.9695238095238099
2009-10-01,SGP,2.535,-0.8526190476190476
2009-11-01,SGP,2.506,-0.896105263157895
2009-12-01,SGP,2.5845454545454545,-1.0054545454545458
2010-01-01,SGP,2.5895,-1.1436578947368425
2010-02-01,SGP,2.6155555555555554,-1.0754970760233915
2010-03-01,SGP,2.7086956521739127,-1.0186956521739137
2010-04-01,SGP,2.7747619047619048,-1.072056277056277
2010-05-01,SGP,2.604,-0.8160000000000003
2010-06-01,SGP,2.570909090909091,-0.6331818181818178
2010-07-01,SGP,2.296818181818182,-0.7146103896103897
2010-08-01,SGP,1.9704761904761903,-0.7281601731601735
2010-09-01,SGP,2.0904761904761906,-0.5571428571428569
2010-10-01,SGP,1.9819047619047618,-0.5580952380952382
2010-11-01,SGP,2.1045000000000003,-0.6584999999999996
2010-12-01,SGP,2.6343478260869566,-0.6561283643892337
2011-01-01,SGP,2.657142857142857,-0.7368571428571427
2011-02-01,SGP,2.6883333333333335,-0.933095238095238
2011-03-01,SGP,2.46,-0.9543478260869565
2011-04-01,SGP,2.448,-1.04
2011-05-01,SGP,2.3445,-0.8300000000000001
2011-06-01,SGP,2.295,-0.707272727272727
2011-07-01,SGP,2.1747619047619047,-0.8282380952380954
2011-08-01,SGP,1.7057142857142857,-0.5973291925465836
2011-09-01,SGP,1.5772727272727274,-0.39796536796536763
2011-10-01,SGP,1.6614999999999998,-0.4905000000000004
2011-11-01,SGP,1.6495238095238096,-0.36397619047619
2011-12-01,SGP,1.6876190476190476,-0.29047619047619055
2012-01-01,SGP,1.5926315789473684,-0.3738684210526315
2012-02-01,SGP,1.5071428571428571,-0.4603571428571429
2012-03-01,SGP,1.6045454545454545,-0.5681818181818179
2012-04-01,SGP,1.624,-0.4288571428571428
2012-05-01,SGP,1.4931818181818182,-0.31000000000000005
2012-06-01,SGP,1.4504761904761905,-0.171904761904762
2012-07-01,SGP,1.4036363636363638,-0.12303030303030305
2012-08-01,SGP,1.4119047619047618,-0.2663561076604557
2012-09-01,SGP,1.4300000000000002,-0.29315789473684206
2012-10-01,SGP,1.3518181818181818,-0.3943722943722945
2012-11-01,SGP,1.3271428571428572,-0.32685714285714274
2012-12-01,SGP,1.3190476190476192,-0.39995238095238084
2013-01-01,SGP,1.3750869565217392,-0.5396749482401657
2013-02-01,SGP,1.54455,-0.43966052631578956
2013-03-01,SGP,1.549952380952381,-0.40754761904761905
2013-04-01,SGP,1.4272727272727272,-0.331818181818182
2013-05-01,SGP,1.543090909090909,-0.38509090909090915
2013-06-01,SGP,2.201,-0.09899999999999975
2013-07-01,SGP,2.487391304347826,-0.09488142292490132
2013-08-01,SGP,2.5303636363636364,-0.20690909090909093
2013-09-01,SGP,2.5023809523809524,-0.3071190476190475
2013-10-01,SGP,2.2637391304347827,-0.35216996047430804
2013-11-01,SGP,2.298095238095238,-0.42032581453634066
2013-12-01,SGP,2.5084999999999997,-0.39340476190476226
2014-01-01,SGP,2.5019130434782606,-0.3561821946169772
2014-02-01,SGP,2.423,-0.286473684210526
2014-03-01,SGP,2.47525,-0.2480833333333332
2014-04-01,SGP,2.458590909090909,-0.2466471861471864
2014-05-01,SGP,2.3090454545454544,-0.2500021645021646
2014-06-01,SGP,2.366761904761905,-0.2318095238095239
2014-07-01,SGP,2.303130434782609,-0.23914229249011854
2014-08-01,SGP,2.35745,-0.06254999999999988
2014-09-01,SGP,2.4514545454545456,-0.0828311688311687
