year,iso3c,mineral_rent
2001,BDI,0.0956593961618833
2002,BDI,0.15190525589864
2003,BDI,0.0838956000414317
2004,BDI,0.103358958495224
2005,BDI,0.130980425387447
2006,BDI,0.321245039212551
2007,BDI,0.34513180195038
2008,BDI,0.390316646128731
2009,BDI,0.271088031124722
2010,BDI,0.189455216999623
2011,BDI,0.384587492058988
2012,BDI,0.434074064130662
2013,BDI,0.217091976573797
2014,BDI,0.261465662278109
2015,BDI,0.142891182891181
2016,BDI,0.16404012765731
2017,BDI,0.270235283454907
2018,BDI,0.0
2019,BDI,0.0
2020,BDI,0.0
2021,BDI,0.0
1995,BEL,0.0
1996,BEL,0.0
1997,BEL,0.0
1998,BEL,0.0
1999,BEL,0.0
2000,BEL,0.0
2001,BEL,0.0
2002,BEL,0.0
2003,BEL,0.0
2004,BEL,0.0
2005,BEL,0.0
2006,BEL,0.0
2007,BEL,0.0
2008,BEL,0.0
2009,BEL,0.0
2010,BEL,0.0
2011,BEL,0.0
2012,BEL,0.0
2013,BEL,0.0
2014,BEL,0.0
2015,BEL,0.0
2016,BEL,0.0
2017,BEL,0.0
2018,BEL,0.0
2019,BEL,0.0
2020,BEL,0.0
2021,BEL,0.0
1995,BEN,0.0
1996,BEN,0.0
1997,BEN,0.0
1998,BEN,0.0354686156430729
1999,BEN,0.000507725600529967
2000,BEN,0.0
2001,BEN,0.000882020376149681
2002,BEN,0.00123780805294916
2003,BEN,0.000492248080616823
2004,BEN,0.000407521404380382
2005,BEN,0.000594103286320443
2006,BEN,0.00186045998816038
2007,BEN,0.00144740391759153
2008,BEN,0.00166749337302723
2009,BEN,0.00197465260379905
2010,BEN,0.00260232665255709
2011,BEN,0.00384931312798048
2012,BEN,0.00345672573555024
2013,BEN,0.00207335421990244
2014,BEN,0.00159576738192757
2015,BEN,0.0
2016,BEN,0.0
2017,BEN,0.0
2018,BEN,0.0
2019,BEN,0.0
2020,BEN,0.0
2021,BEN,0.0
1995,BFA,0.0799924681567668
1996,BFA,0.124531170638445
1997,BFA,0.097216174596622
1998,BFA,0.0677406138689073
1999,BFA,0.0319119656863443
2000,BFA,0.0381539913096733
2001,BFA,0.0132398344894726
2002,BFA,0.027948686830372
2003,BFA,0.0111085881042359
2004,BFA,0.0260286434124574
2005,BFA,0.0443426028299964
2006,BFA,0.131141061007624
2007,BFA,0.000629309544028717
2008,BFA,0.471558294823088
2009,BFA,1.45795503529807
2010,BFA,4.22402377988937
2011,BFA,7.06149315713164
2012,BFA,5.10230867157689
2013,BFA,3.6188959933092
2014,BFA,2.78132209742585
2015,BFA,2.43619453376634
2016,BFA,3.65447126182336
2017,BFA,4.18031048444882
2018,BFA,3.65248145757513
2019,BFA,3.43823460667145
2020,BFA,4.35726996984512
2021,BFA,15.4526004842572
1995,BGD,0.0
1996,BGD,0.0
1997,BGD,0.0
1998,BGD,0.0
1999,BGD,0.0
2000,BGD,0.0
2001,BGD,0.0
2002,BGD,0.0
2003,BGD,0.0
2004,BGD,0.0
2005,BGD,0.0
2006,BGD,0.0
2007,BGD,0.0
2008,BGD,0.0
2009,BGD,0.0
2010,BGD,0.0
2011,BGD,0.0
2012,BGD,0.0
2013,BGD,0.0
2014,BGD,0.0
2015,BGD,0.0
2016,BGD,0.0
2017,BGD,0.0
2018,BGD,0.0
2019,BGD,0.0
2020,BGD,0.0
2021,BGD,0.0
1995,BGR,0.459058980012511
1996,BGR,0.40076241930076
1997,BGR,0.467956972021173
1998,BGR,0.178116688707267
1999,BGR,0.0652162503959179
2000,BGR,0.04334628179999
2001,BGR,0.025760203658008
2002,BGR,0.017954482563267
2003,BGR,0.0145644580109714
2004,BGR,0.109883692079409
2005,BGR,0.281830642652777
2006,BGR,1.09488397380926
2007,BGR,0.8960925418945
2008,BGR,0.515520516734355
2009,BGR,0.159923949769656
2010,BGR,0.724359680957923
2011,BGR,0.816225355852268
2012,BGR,0.847075070547068
2013,BGR,0.608878277562414
2014,BGR,0.36071035944508
2015,BGR,0.260084624393388
2016,BGR,0.177081545142641
2017,BGR,0.316211256207862
2018,BGR,0.270432989561586
2019,BGR,0.248855463356659
2020,BGR,0.34845622392036
2021,BGR,0.593627371344038
1995,BHR,0.0
1996,BHR,0.0
1997,BHR,0.0
1998,BHR,0.0
1999,BHR,0.0
2000,BHR,0.0
2001,BHR,0.0
2002,BHR,0.0
2003,BHR,0.0
2004,BHR,0.0
2005,BHR,0.0
2006,BHR,0.0
2007,BHR,0.0
2008,BHR,0.0
2009,BHR,0.0
2010,BHR,0.0
2011,BHR,0.0
2012,BHR,0.0
2013,BHR,0.0
2014,BHR,0.0
2015,BHR,0.0
2016,BHR,0.0
2017,BHR,0.0
2018,BHR,0.0
2019,BHR,0.0
2020,BHR,0.0
2021,BHR,0.0
1995,BHS,0.0
1996,BHS,0.0
1997,BHS,0.0
1998,BHS,0.0
1999,BHS,0.0
2000,BHS,0.0
2001,BHS,0.0
2002,BHS,0.0
2003,BHS,0.0
2004,BHS,0.0
2005,BHS,0.0
2006,BHS,0.0
2007,BHS,0.0
2008,BHS,0.0
2009,BHS,0.0
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2021,BHS,0.0
1995,BIH,0.0663635676615582
1996,BIH,0.0145003111862726
1997,BIH,0.0114487773584079
1998,BIH,0.0528852069774588
1999,BIH,0.0389809900657342
2000,BIH,0.0579154373195127
2001,BIH,0.0318881569647862
2002,BIH,0.0177361168867414
2003,BIH,0.0197041644928246
2004,BIH,0.0901895502146079
2005,BIH,0.703806919458126
2006,BIH,0.458670810593586
2007,BIH,0.791281846862712
2008,BIH,0.746316087254571
2009,BIH,0.264643735328446
2010,BIH,0.809638528559299
2011,BIH,1.08585787931275
2012,BIH,0.816582827983134
2013,BIH,0.805134663067053
2014,BIH,0.459672382464352
2015,BIH,0.255856935979025
2016,BIH,0.279700782849483
2017,BIH,0.356165463303674
2018,BIH,0.156407536593965
2019,BIH,0.0334032987362757
2020,BIH,0.0281513827376126
2021,BIH,0.0397800429056463
1995,BLR,0.0
1996,BLR,0.0
1997,BLR,0.0
1998,BLR,0.0
1999,BLR,0.0
2000,BLR,0.0
2001,BLR,0.0
2002,BLR,0.0
2003,BLR,0.0
2004,BLR,0.0
2005,BLR,0.0
2006,BLR,0.0
2007,BLR,0.0
2008,BLR,0.0
2009,BLR,0.0
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2021,BLR,0.0
1995,BLZ,0.0
1996,BLZ,0.0
1997,BLZ,0.0
1998,BLZ,0.000654591206111299
1999,BLZ,0.000907606184650073
2000,BLZ,0.00121728831019178
2001,BLZ,6.83778575389436e-05
2002,BLZ,0.000127978934701093
2003,BLZ,0.000243124192989949
2004,BLZ,0.0
2005,BLZ,0.0
2006,BLZ,0.00343960264927482
2007,BLZ,0.00337912128061899
2008,BLZ,0.00405781354043484
2009,BLZ,0.00484743829496492
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2021,BLZ,0.0
1995,BMU,0.0
1996,BMU,0.0
1997,BMU,0.0
1998,BMU,0.0
1999,BMU,0.0
2000,BMU,0.0
2001,BMU,0.0
2002,BMU,0.0
2003,BMU,0.0
2004,BMU,0.0
2005,BMU,0.0
2006,BMU,0.0
2007,BMU,0.0
2008,BMU,0.0
2009,BMU,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2021,BMU,0.0
1995,BOL,2.04389063801456
1996,BOL,1.46212762695585
1997,BOL,1.26953717155461
1998,BOL,0.169697256119387
1999,BOL,0.211120591313388
2000,BOL,0.278147845667971
2001,BOL,0.121156626329288
2002,BOL,0.224689917053631
2003,BOL,0.23473798970115
2004,BOL,0.56359830222864
2005,BOL,0.913753281667752
2006,BOL,3.57670624063231
2007,BOL,4.52067350442681
2008,BOL,3.46252645043463
2009,BOL,1.63166193147975
2010,BOL,3.2482634773025
2011,BOL,5.12663676709338
2012,BOL,3.23074692838332
2013,BOL,2.55541456378636
2014,BOL,2.18635765248212
2015,BOL,0.154530695755321
2016,BOL,0.707160512505969
2017,BOL,2.42321513255476
2018,BOL,1.16643513443381
2019,BOL,0.562741001877922
2020,BOL,0.453988608258518
2021,BOL,5.91005603334556
1995,BRA,0.186451621726932
1996,BRA,0.193354110465506
1997,BRA,0.164715646996924
1998,BRA,0.291965682511125
1999,BRA,0.347740643528655
2000,BRA,0.287289488101813
2001,BRA,0.427934714658352
2002,BRA,0.427572122123379
2003,BRA,0.216753354731614
2004,BRA,0.0993366848795947
2005,BRA,0.824394034854481
2006,BRA,0.885931939469878
2007,BRA,1.54918209203662
