"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","BOL.BCA_NGDPD.A","OBS_VALUE","Bolivia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-4.021","-4.788","-7.208","-7.321","-3.986","-5.002","-4.504","-6.984","-7.856","-5.907","-5.325","-3.359","-4.42","1.042","3.694","6.502","11.436","12.04","11.867","4.658","4.416","2.226","7.221","3.413","1.716","-5.825","-5.579","-5.024","-4.251","-3.316","-0.043","3.884","2.118","-2.529","-4.305","-2.542"
"IMF.RES:WEO(6.0.0)","BRN.BCA_NGDPD.A","OBS_VALUE","Brunei Darussalam","Current account balance (credit less debit), Percent of GDP","Annual","Units","42.255","41.446","28.923","19.36","23.369","14.255","16.595","15.204","12.402","23.609","45.089","31.441","27.116","34.188","33.042","38.183","41.145","35.579","43.508","33.445","36.596","34.711","29.838","20.881","30.709","16.679","12.894","16.362","6.928","6.636","4.279","11.21","19.567","12.879","16.561","15.436"
"IMF.RES:WEO(6.0.0)","BIH.BCA_NGDPD.A","OBS_VALUE","Bosnia and Herzegovina","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","-6.535","-8.694","-7.107","-12.806","-17.696","-19.191","-16.141","-16.434","-7.758","-9.19","-13.83","-6.423","-6.0","-9.479","-8.626","-5.326","-7.351","-5.035","-4.699","-4.779","-3.231","-2.597","-2.84","-1.77","-4.394","-2.319","-3.634","-3.808"
"IMF.RES:WEO(6.0.0)","KHM.BCA_NGDPD.A","OBS_VALUE","Cambodia","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-1.01","-1.647","-3.442","-4.71","-7.038","1.301","-5.495","-4.809","-2.598","-0.932","-2.157","-3.286","-1.969","-3.406","-0.562","-1.409","-5.63","-8.249","-7.125","-6.427","-6.799","-6.506","-6.484","-6.525","-6.391","-5.975","-8.725","-7.993","-2.493","-29.584","-19.008","1.281","-1.693","2.261"
"IMF.RES:WEO(6.0.0)","CHN.BCA_NGDPD.A","OBS_VALUE","China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","3.819","3.039","1.917","1.674","1.288","2.383","2.561","3.484","5.692","8.288","9.777","9.038","4.7","3.874","1.785","2.481","1.515","2.206","2.591","1.671","1.509","0.171","0.706","1.648","1.94","2.422","1.442","2.261","1.886"
"IMF.RES:WEO(6.0.0)","KNA.BCA_NGDPD.A","OBS_VALUE","St. Kitts and Nevis","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.697","-8.108","-12.075","-10.24","-5.847","-4.788","-10.838","-3.353","-11.38","-11.593","-15.098","-13.068"
"IMF.RES:WEO(6.0.0)","CZE.BCA_NGDPD.A","OBS_VALUE","Czech Republic","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-2.26","-6.078","-5.702","-1.867","-2.232","-4.37","-4.803","-5.043","-5.669","-3.705","-2.09","-2.454","-4.592","-1.864","-2.261","-3.515","-2.071","-1.537","-0.522","0.18","0.446","1.759","1.541","0.392","0.332","1.759","-2.056","-4.685","-0.111","1.755","-0.075"
"IMF.RES:WEO(6.0.0)","HRV.BCA_NGDPD.A","OBS_VALUE","Croatia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","55.37","8.438","4.101","-6.324","-4.261","-11.251","-6.101","-6.312","-1.408","-2.177","-6.387","-8.94","-5.961","-7.303","-7.929","-7.94","-10.968","-6.491","-2.156","-1.723","-1.763","-1.049","0.294","2.55","2.094","3.364","1.117","2.456","-1.328","0.545","-3.468","0.411","-1.239","-0.677"
"IMF.RES:WEO(6.0.0)","DJI.BCA_NGDPD.A","OBS_VALUE","Djibouti","Current account balance (credit less debit), Percent of GDP","Annual","Units","","17.054","-0.339","26.499","36.39","37.029","35.798","35.833","33.531","35.048","19.632","43.219","51.503","47.968","30.372","30.488","4.767","-25.755","-33.329","18.67","49.499","-1.812","-23.333","-30.751","23.893","29.46","-1.0","-4.795","14.712","18.258","11.652","-6.601","18.399","18.072","22.069","11.63"
"IMF.RES:WEO(6.0.0)","DMA.BCA_NGDPD.A","OBS_VALUE","Dominica","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-17.938","-15.325","-14.212","-15.489","-16.028","-20.887","-12.774","-20.635","-28.347","-22.712","-15.917","-7.658","-17.333","-9.914","-6.831","-7.082","-8.988","-11.029","-46.653","-38.132","-36.965","-33.516","-26.97","-34.196","-32.337","-30.597"
