"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","AZE.NGDPDPC.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","159.971","174.875","297.162","316.227","411.14","553.468","543.344","576.005","656.386","674.783","760.812","879.863","1039.818","1567.194","2453.261","3813.751","5564.444","4964.696","5880.509","7238.602","7545.553","7926.6","7938.578","5524.527","3897.788","4217.653","4759.796","4841.145","4280.429","5468.269","7831.176","7151.946","7251.303","7604.382"
"IMF.RES:WEO(6.0.0)","BHS.NGDPDPC.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","20460.303","19767.715","19417.216","18979.006","19660.918","20271.249","20974.532","21951.756","23300.816","25780.485","26601.368","26971.273","28357.927","27896.338","28056.572","30030.89","30594.671","31498.523","30787.585","28793.341","28725.135","28365.859","29895.418","28699.505","29990.565","31573.76","31447.64","32427.071","33084.566","33778.471","25572.518","28828.653","32897.378","35517.076","36166.529","36783.802"
"IMF.RES:WEO(6.0.0)","AUS.NGDPDPC.A","OBS_VALUE","Australia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","18877.81","18668.311","18112.564","17455.939","19748.718","20929.06","23167.547","23036.266","20394.834","21775.12","20912.038","19503.999","21703.958","27293.622","32861.496","36260.401","37980.615","45207.836","49198.059","45771.767","56584.708","67289.469","68481.215","65237.984","61629.37","51446.422","51779.836","55782.112","56357.044","54320.185","53163.316","64251.284","65574.135","64652.153","66247.96","64547.098"
"IMF.RES:WEO(6.0.0)","BEL.NGDPDPC.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","20120.031","20563.827","22823.138","21723.728","23624.579","28458.604","27535.287","24878.749","25399.222","25309.265","23136.511","23067.163","25044.331","30707.665","35497.552","36945.499","38841.785","44496.791","48493.275","45055.745","44460.655","47915.958","45028.566","47055.739","48129.389","41032.322","41918.104","44110.725","47627.406","46858.358","45933.801","51830.701","51121.137","54924.575","56271.417","57772.418"
"IMF.RES:WEO(6.0.0)","BLZ.NGDPDPC.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2894.943","3077.947","3498.747","3672.48","3660.23","3783.221","3832.568","3797.291","3897.232","4115.249","4559.87","4579.592","4739.372","4858.894","5068.609","5200.839","5466.57","5713.41","5667.768","5358.871","5413.741","5563.903","5714.0","5949.754","6123.83","6148.025","6152.457","6102.86","6054.508","6185.417","5198.094","6060.882","7161.798","7587.446","8339.46","8648.424"
"IMF.RES:WEO(6.0.0)","BEN.NGDPDPC.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","562.898","558.099","601.645","560.707","375.963","495.048","524.067","489.136","510.571","542.24","503.22","508.351","563.98","698.234","783.763","806.35","837.176","944.755","1098.826","1060.566","1010.314","1099.221","1113.274","1214.313","1251.827","1041.758","1049.531","1094.888","1194.023","1171.015","1239.74","1361.816","1306.021","1435.077","1507.167","1531.868"
"IMF.RES:WEO(6.0.0)","BHR.NGDPDPC.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","10612.215","10688.039","10984.585","11770.05","12277.54","12659.112","12821.281","12949.994","12057.467","12729.094","14818.628","14484.783","14075.299","15101.646","16642.366","18729.699","20086.342","21796.838","24223.471","20292.469","21712.793","25032.809","26438.651","26989.76","26451.797","23734.075","23800.001","24784.752","26324.407","27259.726","24342.844","27140.448","30387.73","29290.112","29035.628","28857.116"
"IMF.RES:WEO(6.0.0)","AUT.NGDPDPC.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","21707.996","22498.089","24931.218","24020.491","25584.781","30184.445","29657.412","26603.585","27249.493","27105.607","24498.114","24430.662","26315.717","32114.633","36608.939","38190.312","40387.725","46630.129","51575.468","47816.021","46662.235","51126.851","48302.044","50321.474","51342.747","43986.748","45032.903","47055.738","50963.207","50010.449","48764.175","53827.418","52609.011","56290.149","56914.537","58191.922"
"IMF.RES:WEO(6.0.0)","BRB.NGDPDPC.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","8002.166","8008.026","7685.763","8120.165","8436.868","8862.759","9456.705","9990.406","11408.029","11938.16","12271.786","12214.816","12389.628","12778.456","13744.668","15373.873","17097.168","19095.524","19477.377","18183.486","18376.607","18893.915","18583.31","18893.842","18935.288","18605.705","18704.689","19310.373","19654.52","20156.276","17951.935","18276.871","21624.512","23167.298","24644.036","25901.275"
"IMF.RES:WEO(6.0.0)","BLR.NGDPDPC.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","1252.792","1114.104","1533.721","1034.931","1429.059","1396.112","1514.669","1210.965","1079.61","1286.951","1529.813","1880.217","2459.175","3232.491","3979.115","4896.501","6590.856","5350.621","6033.415","6485.981","6951.407","7994.708","8333.161","5953.752","5037.653","5785.291","6357.962","6838.218","6536.527","7332.084","7990.348","7821.879","7794.265","7875.358"
