"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","SVN.NGDPD.A","OBS_VALUE","Slovenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","19.285","16.637","16.857","21.399","21.48","20.769","22.08","22.668","20.262","20.693","23.263","29.399","34.19","36.002","39.293","47.886","55.503","49.921","47.832","51.19","46.196","47.868","49.527","42.714","44.279","48.136","53.713","53.916","53.342","61.57","59.975","69.168","72.463","75.224"
"IMF.RES:WEO(6.0.0)","SSD.NGDPD.A","OBS_VALUE","South Sudan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","17.34","11.267","14.947","15.178","15.326","2.419","1.302","2.687","4.044","5.423","5.94","8.037","7.186","5.423","3.998"
"IMF.RES:WEO(6.0.0)","SOM.NGDPD.A","OBS_VALUE","Somalia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","5.022","5.183","5.869","6.443","6.841","7.391","8.252","7.873","8.655","8.628","9.484","10.203","10.969","12.134","12.994"
"IMF.RES:WEO(6.0.0)","LKA.NGDPD.A","OBS_VALUE","Sri Lanka","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.787","10.716","11.553","12.351","14.245","15.127","16.592","18.544","19.05","19.143","20.007","19.236","20.238","22.352","24.423","28.88","33.447","38.27","48.177","49.75","58.643","67.725","70.392","76.934","82.483","85.091","88.0","94.376","94.484","89.015","84.304","88.609","74.584","83.723","98.964",""
"IMF.RES:WEO(6.0.0)","SYR.NGDPD.A","OBS_VALUE","Syrian Arab Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.303","12.738","13.263","13.796","15.105","16.556","17.761","16.573","16.144","16.785","19.861","20.979","22.758","21.702","25.204","28.881","33.824","40.488","52.631","53.939","60.043","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","TLS.NGDPD.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.367","0.477","0.47","0.49","0.441","0.462","0.454","0.543","0.648","0.727","0.882","1.042","1.16","1.396","1.448","1.59","1.64","1.585","1.556","2.033","2.163","3.625","3.209","2.08","2.015","2.115"
"IMF.RES:WEO(6.0.0)","TKM.NGDPD.A","OBS_VALUE","Turkmenistan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","1.625","9.169","7.765","10.043","4.068","4.584","4.893","6.595","8.587","11.855","14.875","19.533","24.272","29.363","36.577","44.388","36.788","34.562","35.164","44.413","50.252","50.863","56.204","44.944","42.876","45.902","49.299","53.035","52.385","60.934","77.963","77.876","82.515","89.054"
"IMF.RES:WEO(6.0.0)","UKR.NGDPD.A","OBS_VALUE","Ukraine","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","22.193","35.025","38.012","38.275","46.083","51.867","43.315","32.661","32.331","37.863","42.339","50.096","64.747","85.996","107.767","143.26","181.313","117.079","136.011","163.059","175.781","183.31","133.392","90.922","93.349","112.064","130.905","153.904","156.566","199.835","161.987","178.763","190.426","205.742"
"IMF.RES:WEO(6.0.0)","UZB.NGDPD.A","OBS_VALUE","Uzbekistan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","4.476","6.897","8.175","12.746","17.453","18.433","18.738","21.362","17.195","14.581","12.106","12.697","15.045","17.939","21.344","27.963","35.858","41.945","49.772","60.213","67.52","73.192","80.848","85.662","85.658","69.703","58.696","67.294","66.443","77.34","90.125","102.634","114.962","132.484"
"IMF.RES:WEO(6.0.0)","VEN.NGDPD.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","48.391","53.382","60.4","59.865","58.357","77.427","70.536","85.684","91.836","97.517","117.596","123.119","95.258","83.684","112.254","143.375","178.521","232.857","306.764","268.624","318.281","316.482","372.592","258.931","214.69","125.449","112.915","115.883","102.021","73.014","42.838","56.615","89.013","102.377","119.808","108.511"
