Date,Ticker,Open,High,Low,Close
05/31/1985,IGGRC10D,,,,15.5600000
06/30/1985,IGGRC10D,,,,15.7700000
07/31/1985,IGGRC10D,,,,14.3700000
08/31/1985,IGGRC10D,,,,13.9700000
09/30/1985,IGGRC10D,,,,14.1600000
10/31/1985,IGGRC10D,,,,13.9000000
11/30/1985,IGGRC10D,,,,13.0500000
12/31/1985,IGGRC10D,,,,15.0800000
01/31/1986,IGGRC10D,,,,14.6800000
02/28/1986,IGGRC10D,,,,15.0400000
03/31/1986,IGGRC10D,,,,15.1100000
04/30/1986,IGGRC10D,,,,16.6700000
05/31/1986,IGGRC10D,,,,17.1700000
06/30/1986,IGGRC10D,,,,17.0900000
07/31/1986,IGGRC10D,,,,17.9400000
08/29/1986,IGGRC10D,,,,18.2100000
09/30/1986,IGGRC10D,,,,13.6200000
10/31/1986,IGGRC10D,,,,14.4900000
11/28/1986,IGGRC10D,,,,14.7000000
12/31/1986,IGGRC10D,,,,14.6600000
01/30/1987,IGGRC10D,,,,17.6800000
02/27/1987,IGGRC10D,,,,17.2000000
03/31/1987,IGGRC10D,,,,17.4900000
04/30/1987,IGGRC10D,,,,17.7700000
05/29/1987,IGGRC10D,,,,18.0600000
06/30/1987,IGGRC10D,,,,16.2400000
07/31/1987,IGGRC10D,,,,16.5300000
08/31/1987,IGGRC10D,,,,17.1300000
09/30/1987,IGGRC10D,,,,17.0800000
10/30/1987,IGGRC10D,,,,17.3700000
11/30/1987,IGGRC10D,,,,18.0000000
12/31/1987,IGGRC10D,,,,19.1400000
01/29/1988,IGGRC10D,,,,20.4500000
02/29/1988,IGGRC10D,,,,21.6700000
03/31/1988,IGGRC10D,,,,19.0500000
04/29/1988,IGGRC10D,,,,18.9900000
05/31/1988,IGGRC10D,,,,16.9200000
06/30/1988,IGGRC10D,,,,15.1600000
07/29/1988,IGGRC10D,,,,15.6300000
08/31/1988,IGGRC10D,,,,14.1100000
09/30/1988,IGGRC10D,,,,14.8600000
10/31/1988,IGGRC10D,,,,15.2800000
11/30/1988,IGGRC10D,,,,12.8000000
12/31/1988,IGGRC10D,,,,13.9000000
12/31/1989,IGGRC10D,,,,12.1700000
12/31/1990,IGGRC10D,,,,12.4900000
12/31/1991,IGGRC10D,,,,13.4000000
09/30/1992,IGGRC10D,,,,23.5000000
10/01/1992,IGGRC10D,,,,23.5000000
10/02/1992,IGGRC10D,,,,23.5000000
10/05/1992,IGGRC10D,,,,23.5000000
10/06/1992,IGGRC10D,,,,23.5000000
10/07/1992,IGGRC10D,,,,23.5000000
10/08/1992,IGGRC10D,,,,23.5000000
10/09/1992,IGGRC10D,,,,23.5000000
10/12/1992,IGGRC10D,,,,23.5000000
10/13/1992,IGGRC10D,,,,23.5000000
10/14/1992,IGGRC10D,,,,23.5000000
10/15/1992,IGGRC10D,,,,23.5000000
10/16/1992,IGGRC10D,,,,23.5000000
10/19/1992,IGGRC10D,,,,23.5000000
10/20/1992,IGGRC10D,,,,23.5000000
10/21/1992,IGGRC10D,,,,23.5000000
10/22/1992,IGGRC10D,,,,23.5000000
10/23/1992,IGGRC10D,,,,23.5000000
10/26/1992,IGGRC10D,,,,23.5000000
10/27/1992,IGGRC10D,,,,23.5000000
10/28/1992,IGGRC10D,,,,23.5000000
10/29/1992,IGGRC10D,,,,23.5000000
10/30/1992,IGGRC10D,,,,23.5000000
11/02/1992,IGGRC10D,,,,23.5000000
11/03/1992,IGGRC10D,,,,23.5000000
11/04/1992,IGGRC10D,,,,23.5000000
11/05/1992,IGGRC10D,,,,23.5000000
11/06/1992,IGGRC10D,,,,23.5000000
11/09/1992,IGGRC10D,,,,23.5000000
11/10/1992,IGGRC10D,,,,23.5000000
11/11/1992,IGGRC10D,,,,23.5000000
11/12/1992,IGGRC10D,,,,23.5000000
11/13/1992,IGGRC10D,,,,23.5000000
11/16/1992,IGGRC10D,,,,23.5000000
11/17/1992,IGGRC10D,,,,23.5000000
11/18/1992,IGGRC10D,,,,23.5000000
11/19/1992,IGGRC10D,,,,23.5000000
11/20/1992,IGGRC10D,,,,23.5000000
11/23/1992,IGGRC10D,,,,23.5000000
11/24/1992,IGGRC10D,,,,23.5000000
11/25/1992,IGGRC10D,,,,23.5000000
11/26/1992,IGGRC10D,,,,23.5000000
11/27/1992,IGGRC10D,,,,23.5000000
11/30/1992,IGGRC10D,,,,24.0000000
12/01/1992,IGGRC10D,,,,25.0000000
12/02/1992,IGGRC10D,,,,25.0000000
12/03/1992,IGGRC10D,,,,25.0000000
12/04/1992,IGGRC10D,,,,25.0000000
12/07/1992,IGGRC10D,,,,25.0000000
12/08/1992,IGGRC10D,,,,25.0000000
12/09/1992,IGGRC10D,,,,25.0000000
12/10/1992,IGGRC10D,,,,25.0000000
12/11/1992,IGGRC10D,,,,25.0000000
12/14/1992,IGGRC10D,,,,25.0000000
12/15/1992,IGGRC10D,,,,25.0000000
12/16/1992,IGGRC10D,,,,25.0000000
12/17/1992,IGGRC10D,,,,25.0000000
12/18/1992,IGGRC10D,,,,25.0000000
12/21/1992,IGGRC10D,,,,25.0000000
12/22/1992,IGGRC10D,,,,25.0000000
12/23/1992,IGGRC10D,,,,25.0000000
12/24/1992,IGGRC10D,,,,25.0000000
12/25/1992,IGGRC10D,,,,25.0000000
12/28/1992,IGGRC10D,,,,25.0000000
12/29/1992,IGGRC10D,,,,25.0000000
12/30/1992,IGGRC10D,,,,25.0000000
12/31/1992,IGGRC10D,,,,24.5000000
01/01/1993,IGGRC10D,,,,24.5000000
01/04/1993,IGGRC10D,,,,24.5000000
01/05/1993,IGGRC10D,,,,24.5000000
01/06/1993,IGGRC10D,,,,24.5000000
01/07/1993,IGGRC10D,,,,24.5000000
01/08/1993,IGGRC10D,,,,24.5000000
01/11/1993,IGGRC10D,,,,24.5000000
01/12/1993,IGGRC10D,,,,24.5000000
01/13/1993,IGGRC10D,,,,24.5000000
01/14/1993,IGGRC10D,,,,24.5000000
01/15/1993,IGGRC10D,,,,24.5000000
01/18/1993,IGGRC10D,,,,24.5000000
01/19/1993,IGGRC10D,,,,24.5000000
01/20/1993,IGGRC10D,,,,24.5000000
01/21/1993,IGGRC10D,,,,24.5000000
01/22/1993,IGGRC10D,,,,24.5000000
01/25/1993,IGGRC10D,,,,24.5000000
01/26/1993,IGGRC10D,,,,24.5000000
01/27/1993,IGGRC10D,,,,24.5000000
01/28/1993,IGGRC10D,,,,24.5000000
01/29/1993,IGGRC10D,,,,24.5000000
02/01/1993,IGGRC10D,,,,24.5000000
02/02/1993,IGGRC10D,,,,24.5000000
02/03/1993,IGGRC10D,,,,24.5000000
02/04/1993,IGGRC10D,,,,24.5000000
02/05/1993,IGGRC10D,,,,24.5000000
02/08/1993,IGGRC10D,,,,24.5000000
02/09/1993,IGGRC10D,,,,24.5000000
02/10/1993,IGGRC10D,,,,24.5000000
02/11/1993,IGGRC10D,,,,24.5000000
02/12/1993,IGGRC10D,,,,24.5000000
02/15/1993,IGGRC10D,,,,24.5000000
02/16/1993,IGGRC10D,,,,24.5000000
02/17/1993,IGGRC10D,,,,24.5000000
02/18/1993,IGGRC10D,,,,24.5000000
02/19/1993,IGGRC10D,,,,24.5000000
02/22/1993,IGGRC10D,,,,24.5000000
02/23/1993,IGGRC10D,,,,24.5000000
02/24/1993,IGGRC10D,,,,24.5000000
02/25/1993,IGGRC10D,,,,24.5000000
02/26/1993,IGGRC10D,,,,24.5000000
03/01/1993,IGGRC10D,,,,24.5000000
03/02/1993,IGGRC10D,,,,24.5000000
03/03/1993,IGGRC10D,,,,24.5000000
03/04/1993,IGGRC10D,,,,24.5000000
03/05/1993,IGGRC10D,,,,24.5000000
03/08/1993,IGGRC10D,,,,24.5000000
03/09/1993,IGGRC10D,,,,24.5000000
03/10/1993,IGGRC10D,,,,24.5000000
03/11/1993,IGGRC10D,,,,24.5000000
03/12/1993,IGGRC10D,,,,24.5000000
03/15/1993,IGGRC10D,,,,24.5000000
03/16/1993,IGGRC10D,,,,24.5000000
03/17/1993,IGGRC10D,,,,24.5000000
03/18/1993,IGGRC10D,,,,24.5000000
03/19/1993,IGGRC10D,,,,24.5000000
03/22/1993,IGGRC10D,,,,24.5000000
03/23/1993,IGGRC10D,,,,24.5000000
03/24/1993,IGGRC10D,,,,24.5000000
03/25/1993,IGGRC10D,,,,24.5000000
03/26/1993,IGGRC10D,,,,24.5000000
03/29/1993,IGGRC10D,,,,24.5000000
03/30/1993,IGGRC10D,,,,24.5000000
03/31/1993,IGGRC10D,,,,24.5000000
04/01/1993,IGGRC10D,,,,24.5000000
04/02/1993,IGGRC10D,,,,24.5000000
04/05/1993,IGGRC10D,,,,24.5000000
04/06/1993,IGGRC10D,,,,24.5000000
04/07/1993,IGGRC10D,,,,24.5000000
04/08/1993,IGGRC10D,,,,24.5000000
04/09/1993,IGGRC10D,,,,24.5000000
04/12/1993,IGGRC10D,,,,24.5000000
04/13/1993,IGGRC10D,,,,24.5000000
04/14/1993,IGGRC10D,,,,24.5000000
04/15/1993,IGGRC10D,,,,24.5000000
04/16/1993,IGGRC10D,,,,24.5000000
04/19/1993,IGGRC10D,,,,24.5000000
04/20/1993,IGGRC10D,,,,24.5000000
04/21/1993,IGGRC10D,,,,24.5000000
04/22/1993,IGGRC10D,,,,24.5000000
04/23/1993,IGGRC10D,,,,24.5000000
04/26/1993,IGGRC10D,,,,24.5000000
04/27/1993,IGGRC10D,,,,24.5000000
04/28/1993,IGGRC10D,,,,24.5000000
04/29/1993,IGGRC10D,,,,24.5000000
04/30/1993,IGGRC10D,,,,24.2500000
05/03/1993,IGGRC10D,,,,24.2500000
05/04/1993,IGGRC10D,,,,24.2500000
05/05/1993,IGGRC10D,,,,24.2500000
05/06/1993,IGGRC10D,,,,24.2500000
05/07/1993,IGGRC10D,,,,24.2500000
05/10/1993,IGGRC10D,,,,24.2500000
05/11/1993,IGGRC10D,,,,24.2500000
05/12/1993,IGGRC10D,,,,24.2500000
05/13/1993,IGGRC10D,,,,24.2500000
05/14/1993,IGGRC10D,,,,24.2500000
05/17/1993,IGGRC10D,,,,24.0000000
05/18/1993,IGGRC10D,,,,24.0000000
05/19/1993,IGGRC10D,,,,24.0000000
05/20/1993,IGGRC10D,,,,24.0000000
05/21/1993,IGGRC10D,,,,24.0000000
05/24/1993,IGGRC10D,,,,24.0000000
05/25/1993,IGGRC10D,,,,24.0000000
05/26/1993,IGGRC10D,,,,24.0000000
05/27/1993,IGGRC10D,,,,24.0000000
05/28/1993,IGGRC10D,,,,24.0000000
05/31/1993,IGGRC10D,,,,23.7500000
06/01/1993,IGGRC10D,,,,23.7500000
06/02/1993,IGGRC10D,,,,23.7500000
06/03/1993,IGGRC10D,,,,23.7500000
06/04/1993,IGGRC10D,,,,23.7500000
06/07/1993,IGGRC10D,,,,23.7500000
06/08/1993,IGGRC10D,,,,23.7500000
06/09/1993,IGGRC10D,,,,23.7500000
06/10/1993,IGGRC10D,,,,23.7500000
06/11/1993,IGGRC10D,,,,23.7500000
06/14/1993,IGGRC10D,,,,23.7500000
06/15/1993,IGGRC10D,,,,23.5000000
06/16/1993,IGGRC10D,,,,23.5000000
06/17/1993,IGGRC10D,,,,23.5000000
06/18/1993,IGGRC10D,,,,23.5000000
06/21/1993,IGGRC10D,,,,23.5000000
06/22/1993,IGGRC10D,,,,23.5000000
06/23/1993,IGGRC10D,,,,23.5000000
06/24/1993,IGGRC10D,,,,23.5000000
06/25/1993,IGGRC10D,,,,23.5000000
06/28/1993,IGGRC10D,,,,23.5000000
06/29/1993,IGGRC10D,,,,23.5000000
06/30/1993,IGGRC10D,,,,23.2500000
07/01/1993,IGGRC10D,,,,23.2500000
07/02/1993,IGGRC10D,,,,23.2500000
07/05/1993,IGGRC10D,,,,23.2500000
07/06/1993,IGGRC10D,,,,23.2500000
07/07/1993,IGGRC10D,,,,23.2500000
07/08/1993,IGGRC10D,,,,23.2500000
07/09/1993,IGGRC10D,,,,23.2500000
07/12/1993,IGGRC10D,,,,23.2500000
07/13/1993,IGGRC10D,,,,23.2500000
07/14/1993,IGGRC10D,,,,23.2500000
07/15/1993,IGGRC10D,,,,23.0000000
07/16/1993,IGGRC10D,,,,23.0000000
07/19/1993,IGGRC10D,,,,23.0000000
07/20/1993,IGGRC10D,,,,23.0000000
07/21/1993,IGGRC10D,,,,23.0000000
07/22/1993,IGGRC10D,,,,23.0000000
07/23/1993,IGGRC10D,,,,23.0000000
07/26/1993,IGGRC10D,,,,23.0000000
07/27/1993,IGGRC10D,,,,23.0000000
07/28/1993,IGGRC10D,,,,23.0000000
07/29/1993,IGGRC10D,,,,23.0000000
07/30/1993,IGGRC10D,,,,22.7500000
08/02/1993,IGGRC10D,,,,22.7500000
08/03/1993,IGGRC10D,,,,22.7500000
08/04/1993,IGGRC10D,,,,22.7500000
08/05/1993,IGGRC10D,,,,22.7500000
08/06/1993,IGGRC10D,,,,22.7500000
08/09/1993,IGGRC10D,,,,22.7500000
08/10/1993,IGGRC10D,,,,22.7500000
08/11/1993,IGGRC10D,,,,22.7500000
08/12/1993,IGGRC10D,,,,22.7500000
08/13/1993,IGGRC10D,,,,22.7500000
08/16/1993,IGGRC10D,,,,22.7500000
08/17/1993,IGGRC10D,,,,22.7500000
08/18/1993,IGGRC10D,,,,22.7500000
08/19/1993,IGGRC10D,,,,22.7500000
08/20/1993,IGGRC10D,,,,22.7500000
08/23/1993,IGGRC10D,,,,22.7500000
08/24/1993,IGGRC10D,,,,22.7500000
08/25/1993,IGGRC10D,,,,22.7500000
08/26/1993,IGGRC10D,,,,22.7500000
08/27/1993,IGGRC10D,,,,22.7500000
08/30/1993,IGGRC10D,,,,22.7500000
08/31/1993,IGGRC10D,,,,22.2500000
09/01/1993,IGGRC10D,,,,22.2500000
09/02/1993,IGGRC10D,,,,22.2500000
09/03/1993,IGGRC10D,,,,22.2500000
09/06/1993,IGGRC10D,,,,22.2500000
09/07/1993,IGGRC10D,,,,22.2500000
09/08/1993,IGGRC10D,,,,22.2500000
09/09/1993,IGGRC10D,,,,22.2500000
09/10/1993,IGGRC10D,,,,22.2500000
09/13/1993,IGGRC10D,,,,22.2500000
09/14/1993,IGGRC10D,,,,22.2500000
09/15/1993,IGGRC10D,,,,22.2500000
09/16/1993,IGGRC10D,,,,22.2500000
09/17/1993,IGGRC10D,,,,22.2500000
09/20/1993,IGGRC10D,,,,22.2500000
09/21/1993,IGGRC10D,,,,22.2500000
09/22/1993,IGGRC10D,,,,22.2500000
09/23/1993,IGGRC10D,,,,22.2500000
09/24/1993,IGGRC10D,,,,22.2500000
09/27/1993,IGGRC10D,,,,22.2500000
09/28/1993,IGGRC10D,,,,22.2500000
09/29/1993,IGGRC10D,,,,22.2500000
09/30/1993,IGGRC10D,,,,22.2500000
10/01/1993,IGGRC10D,,,,22.2500000
10/04/1993,IGGRC10D,,,,22.2500000
10/05/1993,IGGRC10D,,,,22.2500000
10/06/1993,IGGRC10D,,,,22.2500000
10/07/1993,IGGRC10D,,,,22.2500000
10/08/1993,IGGRC10D,,,,22.2500000
10/11/1993,IGGRC10D,,,,22.2500000
10/12/1993,IGGRC10D,,,,22.2500000
10/13/1993,IGGRC10D,,,,22.2500000
10/14/1993,IGGRC10D,,,,22.2500000
10/15/1993,IGGRC10D,,,,22.2500000
10/18/1993,IGGRC10D,,,,22.2500000
10/19/1993,IGGRC10D,,,,22.2500000
10/20/1993,IGGRC10D,,,,22.2500000
10/21/1993,IGGRC10D,,,,22.2500000
10/22/1993,IGGRC10D,,,,22.2500000
10/25/1993,IGGRC10D,,,,22.2500000
10/26/1993,IGGRC10D,,,,22.2500000
10/27/1993,IGGRC10D,,,,22.2500000
10/28/1993,IGGRC10D,,,,22.2500000
10/29/1993,IGGRC10D,,,,22.2500000
11/01/1993,IGGRC10D,,,,22.2500000
11/02/1993,IGGRC10D,,,,22.2500000
11/03/1993,IGGRC10D,,,,22.2500000
11/04/1993,IGGRC10D,,,,22.2500000
11/05/1993,IGGRC10D,,,,22.2500000
11/08/1993,IGGRC10D,,,,22.2500000
11/09/1993,IGGRC10D,,,,22.2500000
11/10/1993,IGGRC10D,,,,22.2500000
11/11/1993,IGGRC10D,,,,22.2500000
11/12/1993,IGGRC10D,,,,22.2500000
11/15/1993,IGGRC10D,,,,22.2500000
11/16/1993,IGGRC10D,,,,22.2500000
11/17/1993,IGGRC10D,,,,22.2500000
11/18/1993,IGGRC10D,,,,22.2500000
11/19/1993,IGGRC10D,,,,22.2500000
11/22/1993,IGGRC10D,,,,22.2500000
11/23/1993,IGGRC10D,,,,22.2500000
11/24/1993,IGGRC10D,,,,22.2500000
11/25/1993,IGGRC10D,,,,22.2500000
11/26/1993,IGGRC10D,,,,22.2500000
11/29/1993,IGGRC10D,,,,22.2500000
11/30/1993,IGGRC10D,,,,22.2500000
12/01/1993,IGGRC10D,,,,22.2500000
12/02/1993,IGGRC10D,,,,22.2500000
12/03/1993,IGGRC10D,,,,22.2500000
12/06/1993,IGGRC10D,,,,22.2500000
12/07/1993,IGGRC10D,,,,22.2500000
12/08/1993,IGGRC10D,,,,22.2500000
12/09/1993,IGGRC10D,,,,22.2500000
12/10/1993,IGGRC10D,,,,22.2500000
12/13/1993,IGGRC10D,,,,22.2500000
12/14/1993,IGGRC10D,,,,22.2500000
12/15/1993,IGGRC10D,,,,22.2500000
12/16/1993,IGGRC10D,,,,22.2500000
12/17/1993,IGGRC10D,,,,22.2500000
12/20/1993,IGGRC10D,,,,22.2500000
12/21/1993,IGGRC10D,,,,22.2500000
12/22/1993,IGGRC10D,,,,22.2500000
12/23/1993,IGGRC10D,,,,22.2500000
12/24/1993,IGGRC10D,,,,22.2500000
12/27/1993,IGGRC10D,,,,22.2500000
12/28/1993,IGGRC10D,,,,22.2500000
12/29/1993,IGGRC10D,,,,22.2500000
12/30/1993,IGGRC10D,,,,22.2500000
12/31/1993,IGGRC10D,,,,22.2500000
01/03/1994,IGGRC10D,,,,22.2500000
01/04/1994,IGGRC10D,,,,22.2500000
01/05/1994,IGGRC10D,,,,22.2500000
01/06/1994,IGGRC10D,,,,22.2500000
01/07/1994,IGGRC10D,,,,22.2500000
01/10/1994,IGGRC10D,,,,22.2500000
01/11/1994,IGGRC10D,,,,22.2500000
01/12/1994,IGGRC10D,,,,22.2500000
01/13/1994,IGGRC10D,,,,22.2500000
01/14/1994,IGGRC10D,,,,22.2500000
01/17/1994,IGGRC10D,,,,22.2500000
01/18/1994,IGGRC10D,,,,22.2500000
01/19/1994,IGGRC10D,,,,22.2500000
01/20/1994,IGGRC10D,,,,22.2500000
01/21/1994,IGGRC10D,,,,22.2500000
01/24/1994,IGGRC10D,,,,22.2500000
01/25/1994,IGGRC10D,,,,22.2500000
01/26/1994,IGGRC10D,,,,22.2500000
01/27/1994,IGGRC10D,,,,22.2500000
01/28/1994,IGGRC10D,,,,22.2500000
01/31/1994,IGGRC10D,,,,21.7500000
02/01/1994,IGGRC10D,,,,21.7500000
02/02/1994,IGGRC10D,,,,21.7500000
02/03/1994,IGGRC10D,,,,21.7500000
02/04/1994,IGGRC10D,,,,21.7500000
02/07/1994,IGGRC10D,,,,21.7500000
02/08/1994,IGGRC10D,,,,21.7500000
02/09/1994,IGGRC10D,,,,21.7500000
02/10/1994,IGGRC10D,,,,21.7500000
02/11/1994,IGGRC10D,,,,21.7500000
02/14/1994,IGGRC10D,,,,21.5000000
02/15/1994,IGGRC10D,,,,21.5000000
02/16/1994,IGGRC10D,,,,21.5000000
02/17/1994,IGGRC10D,,,,21.5000000
02/18/1994,IGGRC10D,,,,21.5000000
02/21/1994,IGGRC10D,,,,21.5000000
02/22/1994,IGGRC10D,,,,21.5000000
02/23/1994,IGGRC10D,,,,21.5000000
02/24/1994,IGGRC10D,,,,21.5000000
02/25/1994,IGGRC10D,,,,21.5000000
02/28/1994,IGGRC10D,,,,21.0000000
03/01/1994,IGGRC10D,,,,21.0000000
03/02/1994,IGGRC10D,,,,21.0000000
03/03/1994,IGGRC10D,,,,21.0000000
03/04/1994,IGGRC10D,,,,21.0000000
03/07/1994,IGGRC10D,,,,21.0000000
03/08/1994,IGGRC10D,,,,21.0000000
03/09/1994,IGGRC10D,,,,21.0000000
03/10/1994,IGGRC10D,,,,21.0000000
03/11/1994,IGGRC10D,,,,21.0000000
03/14/1994,IGGRC10D,,,,21.0000000
03/15/1994,IGGRC10D,,,,20.7500000
03/16/1994,IGGRC10D,,,,20.7500000
03/17/1994,IGGRC10D,,,,20.7500000
03/18/1994,IGGRC10D,,,,20.7500000
03/21/1994,IGGRC10D,,,,20.7500000
03/22/1994,IGGRC10D,,,,20.7500000
03/23/1994,IGGRC10D,,,,20.7500000
03/24/1994,IGGRC10D,,,,20.7500000
03/25/1994,IGGRC10D,,,,20.7500000
03/28/1994,IGGRC10D,,,,20.7500000
03/29/1994,IGGRC10D,,,,20.7500000
03/30/1994,IGGRC10D,,,,20.7500000
03/31/1994,IGGRC10D,,,,20.0000000
04/01/1994,IGGRC10D,,,,20.0000000
04/04/1994,IGGRC10D,,,,20.0000000
04/05/1994,IGGRC10D,,,,20.0000000
04/06/1994,IGGRC10D,,,,20.0000000
04/07/1994,IGGRC10D,,,,20.0000000
04/08/1994,IGGRC10D,,,,20.0000000
04/11/1994,IGGRC10D,,,,20.0000000
04/12/1994,IGGRC10D,,,,20.0000000
04/13/1994,IGGRC10D,,,,20.0000000
04/14/1994,IGGRC10D,,,,20.0000000
04/15/1994,IGGRC10D,,,,20.0000000
04/18/1994,IGGRC10D,,,,20.0000000
04/19/1994,IGGRC10D,,,,20.0000000
04/20/1994,IGGRC10D,,,,20.0000000
04/21/1994,IGGRC10D,,,,20.0000000
04/22/1994,IGGRC10D,,,,20.0000000
04/25/1994,IGGRC10D,,,,20.0000000
04/26/1994,IGGRC10D,,,,20.0000000
04/27/1994,IGGRC10D,,,,20.0000000
04/28/1994,IGGRC10D,,,,20.0000000
04/29/1994,IGGRC10D,,,,20.0000000
05/02/1994,IGGRC10D,,,,20.0000000
05/03/1994,IGGRC10D,,,,20.0000000
05/04/1994,IGGRC10D,,,,20.0000000
05/05/1994,IGGRC10D,,,,20.0000000
05/06/1994,IGGRC10D,,,,20.0000000
05/09/1994,IGGRC10D,,,,20.0000000
05/10/1994,IGGRC10D,,,,20.0000000
05/11/1994,IGGRC10D,,,,20.0000000
05/12/1994,IGGRC10D,,,,20.0000000
05/13/1994,IGGRC10D,,,,20.0000000
05/16/1994,IGGRC10D,,,,20.0000000
05/17/1994,IGGRC10D,,,,20.0000000
05/18/1994,IGGRC10D,,,,20.0000000
05/19/1994,IGGRC10D,,,,20.0000000
05/20/1994,IGGRC10D,,,,20.0000000
05/23/1994,IGGRC10D,,,,20.0000000
05/24/1994,IGGRC10D,,,,20.0000000
05/25/1994,IGGRC10D,,,,20.0000000
05/26/1994,IGGRC10D,,,,20.0000000
05/27/1994,IGGRC10D,,,,20.0000000
05/30/1994,IGGRC10D,,,,20.0000000
05/31/1994,IGGRC10D,,,,20.0000000
06/01/1994,IGGRC10D,,,,20.0000000
06/02/1994,IGGRC10D,,,,20.0000000
06/03/1994,IGGRC10D,,,,20.0000000
06/06/1994,IGGRC10D,,,,20.0000000
06/07/1994,IGGRC10D,,,,20.0000000
06/08/1994,IGGRC10D,,,,20.0000000
06/09/1994,IGGRC10D,,,,20.0000000
06/10/1994,IGGRC10D,,,,20.0000000
06/13/1994,IGGRC10D,,,,20.0000000
06/14/1994,IGGRC10D,,,,20.0000000
06/15/1994,IGGRC10D,,,,20.0000000
06/16/1994,IGGRC10D,,,,20.0000000
06/17/1994,IGGRC10D,,,,20.0000000
06/20/1994,IGGRC10D,,,,20.0000000
06/21/1994,IGGRC10D,,,,20.0000000
06/22/1994,IGGRC10D,,,,20.0000000
06/23/1994,IGGRC10D,,,,20.0000000
06/24/1994,IGGRC10D,,,,20.0000000
06/27/1994,IGGRC10D,,,,20.0000000
06/28/1994,IGGRC10D,,,,20.0000000
06/29/1994,IGGRC10D,,,,20.0000000
06/30/1994,IGGRC10D,,,,20.0000000
07/01/1994,IGGRC10D,,,,20.0000000
07/04/1994,IGGRC10D,,,,20.0000000
07/05/1994,IGGRC10D,,,,20.0000000
07/06/1994,IGGRC10D,,,,20.0000000
07/07/1994,IGGRC10D,,,,20.0000000
07/08/1994,IGGRC10D,,,,20.0000000
07/11/1994,IGGRC10D,,,,20.0000000
07/12/1994,IGGRC10D,,,,20.0000000
07/13/1994,IGGRC10D,,,,20.0000000
07/14/1994,IGGRC10D,,,,20.0000000
07/15/1994,IGGRC10D,,,,20.0000000
07/18/1994,IGGRC10D,,,,20.0000000
07/19/1994,IGGRC10D,,,,20.0000000
07/20/1994,IGGRC10D,,,,20.0000000
07/21/1994,IGGRC10D,,,,20.0000000
07/22/1994,IGGRC10D,,,,20.0000000
07/25/1994,IGGRC10D,,,,20.0000000
07/26/1994,IGGRC10D,,,,20.0000000
07/27/1994,IGGRC10D,,,,20.0000000
07/28/1994,IGGRC10D,,,,20.0000000
07/29/1994,IGGRC10D,,,,20.0000000
08/01/1994,IGGRC10D,,,,20.0000000
08/02/1994,IGGRC10D,,,,20.0000000
08/03/1994,IGGRC10D,,,,20.0000000
08/04/1994,IGGRC10D,,,,20.0000000
08/05/1994,IGGRC10D,,,,20.0000000
08/08/1994,IGGRC10D,,,,20.0000000
08/09/1994,IGGRC10D,,,,20.0000000
08/10/1994,IGGRC10D,,,,20.0000000
08/11/1994,IGGRC10D,,,,20.0000000
08/12/1994,IGGRC10D,,,,20.0000000
08/15/1994,IGGRC10D,,,,20.0000000
08/16/1994,IGGRC10D,,,,20.0000000
08/17/1994,IGGRC10D,,,,20.0000000
08/18/1994,IGGRC10D,,,,20.0000000
08/19/1994,IGGRC10D,,,,20.0000000
08/22/1994,IGGRC10D,,,,20.0000000
08/23/1994,IGGRC10D,,,,20.0000000
08/24/1994,IGGRC10D,,,,20.0000000
08/25/1994,IGGRC10D,,,,20.0000000
08/26/1994,IGGRC10D,,,,20.0000000
08/29/1994,IGGRC10D,,,,20.0000000
08/30/1994,IGGRC10D,,,,20.0000000
08/31/1994,IGGRC10D,,,,21.5000000
09/01/1994,IGGRC10D,,,,21.5000000
09/02/1994,IGGRC10D,,,,21.5000000
09/05/1994,IGGRC10D,,,,21.5000000
09/06/1994,IGGRC10D,,,,21.5000000
09/07/1994,IGGRC10D,,,,21.5000000
09/08/1994,IGGRC10D,,,,21.5000000
09/09/1994,IGGRC10D,,,,21.5000000
09/12/1994,IGGRC10D,,,,21.5000000
09/13/1994,IGGRC10D,,,,21.5000000
09/14/1994,IGGRC10D,,,,21.5000000
09/15/1994,IGGRC10D,,,,21.5000000
09/16/1994,IGGRC10D,,,,21.5000000
09/19/1994,IGGRC10D,,,,21.5000000
09/20/1994,IGGRC10D,,,,21.5000000
09/21/1994,IGGRC10D,,,,21.5000000
09/22/1994,IGGRC10D,,,,21.5000000
09/23/1994,IGGRC10D,,,,21.5000000
09/26/1994,IGGRC10D,,,,21.5000000
09/27/1994,IGGRC10D,,,,21.5000000
09/28/1994,IGGRC10D,,,,21.5000000
09/29/1994,IGGRC10D,,,,21.5000000
09/30/1994,IGGRC10D,,,,21.5000000
10/03/1994,IGGRC10D,,,,21.5000000
10/04/1994,IGGRC10D,,,,21.5000000
10/05/1994,IGGRC10D,,,,21.5000000
10/06/1994,IGGRC10D,,,,21.5000000
10/07/1994,IGGRC10D,,,,21.5000000
10/10/1994,IGGRC10D,,,,21.5000000
10/11/1994,IGGRC10D,,,,21.5000000
10/12/1994,IGGRC10D,,,,21.5000000
10/13/1994,IGGRC10D,,,,21.5000000
10/14/1994,IGGRC10D,,,,21.5000000
10/17/1994,IGGRC10D,,,,21.5000000
10/18/1994,IGGRC10D,,,,21.5000000
