iso3c,date,gain
BLZ,1998,42.7672695298801
BLZ,1999,42.740817711355
BLZ,2000,43.0446473362092
BLZ,2001,42.9809399443814
BLZ,2002,43.7816080012451
BLZ,2003,43.5980993266945
BLZ,2004,43.0347694118493
BLZ,2005,44.0667435121942
BLZ,2006,41.2337105835798
BLZ,2007,41.0935911709068
BLZ,2008,41.319177455965
BLZ,2009,42.8136914671244
BLZ,2010,42.4399633270211
BLZ,2011,41.3818550631282
BLZ,2012,42.6089086542895
BLZ,2013,43.3864972999998
BLZ,2014,42.3375872070306
BLZ,2015,42.7544629263499
BLZ,2016,42.8879005470993
BLZ,2017,42.7498428103845
BLZ,2018,43.1940757073541
BLZ,2019,42.7316173773526
BLZ,2020,42.6335411661973
BLZ,2021,42.0487790601226
BLZ,2022,42.1139010145728
BLZ,2023,42.1560627262465
BOL,1995,38.0510532278668
BOL,1996,38.2126869219844
BOL,1997,38.990622094399
BOL,1998,39.7234308698172
BOL,1999,39.5344291418208
BOL,2000,39.2283942475017
BOL,2001,38.7082366626061
BOL,2002,37.7415970038905
BOL,2003,38.4769976822999
BOL,2004,39.1276906683511
BOL,2005,38.4989209159822
BOL,2006,39.3262107766811
BOL,2007,39.7498557044701
BOL,2008,39.4306827944078
BOL,2009,39.3866306405215
BOL,2010,40.0934597859048
BOL,2011,39.9044102150068
BOL,2012,39.2868645909532
BOL,2013,40.0021034284981
BOL,2014,39.8070687098944
BOL,2015,39.4227370559156
BOL,2016,39.8660460184708
BOL,2017,40.7192292455354
BOL,2018,40.8351208980875
BOL,2019,40.5881105552378
BOL,2020,40.3639082970491
BOL,2021,40.0518945181822
BOL,2022,39.9711540382969
BOL,2023,40.1889623741
BRA,1995,45.8748349602991
BRA,1996,45.8177353610196
BRA,1997,46.0535383531789
BRA,1998,46.3751740776562
BRA,1999,46.5732292941393
BRA,2000,46.7633352113202
BRA,2001,47.1369539456906
BRA,2002,47.6101739258982
BRA,2003,47.9294989511435
BRA,2004,47.7889948350882
BRA,2005,48.0148442955565
BRA,2006,49.751998736189
BRA,2007,50.1069878195139
BRA,2008,50.6087423432986
BRA,2009,50.6696846292268
BRA,2010,51.7594874626458
BRA,2011,52.3642685080462
BRA,2012,51.7205956061326
BRA,2013,51.838477704925
BRA,2014,46.815137006648
BRA,2015,46.7319494014161
BRA,2016,47.0684086146117
BRA,2017,46.5983741813269
BRA,2018,46.8726423180194
BRA,2019,47.2571063343334
BRA,2020,47.2507297388285
BRA,2021,46.9736664002029
BRA,2022,46.8762486214936
BRA,2023,47.1557290739033
BRB,1995,56.1096359946399
BRB,1996,56.1378155914699
BRB,1997,56.1229443893009
BRB,1998,56.1645070336106
BRB,1999,56.2397382681243
BRB,2000,56.5469414026918
BRB,2001,56.597658830828
BRB,2002,56.2450671621798
BRB,2003,56.7877451544093
BRB,2004,57.2997518135751
BRB,2005,58.3679736701798
BRB,2006,61.65893152919
BRB,2007,62.0950772024818
BRB,2008,62.2874505795933
BRB,2009,62.0254858950625
BRB,2010,63.4215825310686
BRB,2011,64.7317965949794
BRB,2012,58.8378930911494
BRB,2013,58.8597066266675
BRB,2014,57.0399469255116
BRB,2015,58.4958593437907
BRB,2016,57.3937944581246
BRB,2017,58.5891743566688
BRB,2018,58.4064491459824
BRB,2019,58.0226928671871
BRB,2020,58.6001909181367
BRB,2021,61.2124378030413
BRB,2022,61.7165807217397
BRB,2023,61.9315939904448
BRN,1995,48.0970468963229
BRN,1996,48.1955643455793
BRN,1997,47.9884270512162
BRN,1998,47.7139697377667
BRN,1999,47.844972926272
BRN,2000,47.9491944167389
BRN,2001,48.1755106107346
BRN,2002,48.4933199048044
BRN,2003,48.7161664723097
BRN,2004,49.4442873669349
BRN,2005,50.1361423180622
BRN,2006,53.3816783817479
BRN,2007,49.3251374040735
