,u_all,v_all,groups
7000019,-4.984306033059131,-0.3682589109982377,JPN
7000020,0.6963270413421434,-0.9138985649790379,KOR
7000021,-1.435339915696244,0.08851118178149697,LTU
7000022,0.3739779965665597,-0.3952315430515454,LUX
7000023,-2.1179051490819956,1.5817753039046458,LVA
7000024,0.3688925665364654,-2.0603459462890545,MEX
7000025,0.3717666246663722,0.45511448353181305,MLT
7000026,0.0467315158958832,-1.010629139439904,MYS
7000027,0.45898208082836944,-0.31713499689366165,NLD
7000028,1.2921850381418436,0.04164796647507085,NOR
7000029,0.43191772070271395,0.2886284621053101,NZL
7000030,-1.07586495519174,1.1541015436765991,PHL
7000031,-1.4893216016057824,0.9075180182793257,POL
7000032,-0.07080697220650689,-1.6372164607555344,PRT
7000033,7.306242491794274,3.459319537516282,ROU
7000034,-2.8678086304951944,-0.3453013938859604,RUS
7000035,0.08352880362225595,0.03635209031573794,SGP
7000036,-1.9878002255273144,1.565051746815059,SVK
7000037,2.0663312463888266,-0.6640009484600689,SVN
7000038,0.7107872272182401,-0.18088986970533893,SWE
7000039,-3.4102252240897575,1.8367297985621498,THA
7000040,0.6019262974457117,0.7298410705603393,ZAF
8000000,0.3224928319661893,0.8991035233605307,AUS
8000001,0.35434449336959434,-0.48170770171308763,AUT
8000002,0.256790973612708,0.07632113544405139,BEL
8000003,0.8651056719019543,0.6872981714479298,BGR
8000004,0.44335590334548425,0.06385394016376567,CAN
8000005,0.21039271435005724,-0.7239016221828829,CHE
8000006,2.272678868129829,-1.003484649501877,COL
8000007,-0.6788014341292078,-0.17538055837471983,CYP
8000008,-0.12472794541902474,0.49828803996714344,CZE
8000009,0.53047737488923,-0.15319952903450762,DEU
8000010,0.3132586507219359,-0.6673538371766212,DNK
8000011,-0.21044757239445228,0.6035136843373802,ESP
8000012,0.1205700068473442,0.105674582022101,FIN
8000013,0.18106380395529964,-0.3415257534872089,FRA
8000014,0.3769037121209079,0.15844606679971485,GBR
8000015,0.21552179044445463,0.2913359002192,GRC
8000016,-0.5071310174650026,1.077270219219502,HUN
