iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
BRA,2010,1.1072955849880657,51.7594874626458,50.6696846292268,50.6087423432986
BWA,2010,-1.3896406110223882,46.5085467764356,46.1032195097096,45.9355455187531
CAN,2010,0.5189444328931734,70.0767560484498,70.8389318817843,70.6697883678967
CHE,2010,-0.27666664064071456,72.3247980074761,71.5561945495683,72.0127695249877
CHN,2010,0.520350035741161,56.5007072505874,54.5150214221924,53.6949806372906
CYP,2010,-0.36631017150682754,55.9218995399674,55.8980121618558,61.1447457141249
CZE,2010,-0.9862344931379777,60.2123679583084,59.4248915722369,59.4059220765584
DEU,2010,0.2350891940819318,70.2095677824154,69.1284744903149,69.331880428937
DNK,2010,-0.3789230961334368,73.0313119733704,72.8025948639438,72.7633362844503
ESP,2010,0.37065217481019685,60.8758647741173,60.8708433464452,61.546194721199
FIN,2010,-0.3425056238205541,74.5757914644322,74.4006091200968,74.9860134848031
FRA,2010,-0.08478563854338002,67.743962009878,67.0017819943224,66.6004513544888
GBR,2010,0.3948826819729758,69.9507654539286,69.1576185371669,69.4092845888094
GRC,2010,0.836859282217481,54.9512735385959,55.1697107781957,54.7824380506954
HRV,2010,0.4165647442786975,52.0927063097912,51.126687134172,51.4973350877525
HUN,2010,-2.0321662455018688,55.5957232474907,56.2741783830491,55.8140190803087
IDN,2010,-1.4844957838188417,47.5589167916601,45.9363288906202,
IND,2010,0.5435221671698693,46.5091573043895,45.1068250336921,45.274379946942
IRL,2010,0.3102563626158532,63.9796118917882,64.2071157236078,64.1818308749984
ISL,2010,-1.4404074621169332,71.4606702492557,71.3853543972406,71.5960263176239
ITA,2010,-0.057384789058749,56.0538027641747,55.8088394820799,55.9757683582792
JPN,2010,-0.39626743858383673,69.2181193442222,67.2215456256263,66.8520819001319
KEN,2010,-4.610653532061248,34.1778333054429,34.2761054125721,34.3495890178542
KOR,2010,-0.37264068408846773,64.7572789768886,63.4487963748065,63.1322563116439
LTU,2010,-4.1826544435245046,56.8476303183987,56.6111359841371,55.9605715823357
LUX,2010,-0.8734374572087974,67.6752755829204,66.1062169614345,65.4358303100247
LVA,2010,0.4605795361287299,55.7294547805346,56.2864781239198,56.3020583240822
MEX,2010,-0.913888403146748,54.0524093186053,52.9349421746505,52.8817243782989
MLT,2010,-0.37973424187597393,62.4576292121341,60.9566878466873,61.8143831197927
MYS,2010,0.15359463881099544,51.2566235767656,49.8419754759193,49.1088088163454
NAM,2010,-0.2420677581466606,41.9111428562574,41.584818738472,42.9855345101116
NGA,2010,-3.1891714560710085,44.8882291379277,43.6076785849554,44.0984243248699
NLD,2010,-0.35940302904333454,67.9544509856229,67.8435110361007,67.9002860276211
NOR,2010,-0.18748187889958678,76.1317311813398,75.1159116100588,74.9498884823712
NZL,2010,-0.18581454852602874,74.6991713439473,74.510983536758,74.0514528861462
PAK,2010,-0.7465454753947789,44.1603407874438,42.9662070082408,43.3730905644588
PER,2010,-0.2805303804456667,45.585711352944,44.5006421186093,45.208791811885
PHL,2010,-1.1493798897412404,38.9141222085519,38.5521818925664,38.4696112427305
POL,2010,-0.1925354153748846,57.3715417238753,56.7222825717928,56.5621016344756
PRT,2010,1.2085003042464626,58.5759839603542,58.0373539564489,57.4822040333537
ROU,2010,-1.827519506260587,50.2565630106483,51.3983089309153,50.7932760237756
RUS,2010,-3.8568457002452714,60.3573092279768,58.373126830107,59.1217355645474
SGP,2010,0.22626969003268593,68.7703874997619,67.4036579472901,67.9615443247779
SVK,2010,-1.1544642800152052,54.7147795024272,54.9184672643171,54.7701536084635
SVN,2010,-0.4978979193213434,63.6942777596627,62.693448734638,61.0876577082724
SWE,2010,0.19850500207081107,72.4971626348265,71.6796679072173,71.7270053289154
THA,2010,-0.3514916569735608,47.9970321523653,47.6210869158774,46.4354421859945
VNM,2010,0.3196758103477144,41.356055137041,42.1312494053508,
ZAF,2010,-0.14813746152421103,45.7148323056849,46.4347315847622,46.2610631534599
ZMB,2010,-1.5279546894477498,37.6257592387673,38.0856657696961,38.4140797758293
AUS,2011,0.2479090381387239,69.3554899201878,69.2790637564839,68.9134316532415
AUT,2011,0.8244588899243863,68.0736091530137,68.4361207590759,68.2978498909523
BEL,2011,1.5648548047044881,62.076581175898,61.6709973806964,62.0373058875726
