year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,country_mean,gain_diff1,ln_gdp_per_capita,ln_gross_gdp,sovereign_spread_lag1,sovereign_spread_lag2,cpi_yoy_lag1,cpi_yoy_lag2,gdp_annual_growth_rate_lag1,gdp_annual_growth_rate_lag2,ln_gdp_per_capita_lag1,ln_gdp_per_capita_lag2,ln_gross_gdp_lag1,ln_gross_gdp_lag2,debt_to_gdp_lag1,debt_to_gdp_lag2,deficit_to_gdp_lag1,deficit_to_gdp_lag2,current_account_balance_lag1,current_account_balance_lag2,gain_diff3,gain_diff5,gain_substantive_change,gain_diff1_wins,sovereign_spread_lag1_impflag,sovereign_spread_lag2_impflag,cpi_yoy_lag1_impflag,cpi_yoy_lag2_impflag,gdp_annual_growth_rate_lag1_impflag,gdp_annual_growth_rate_lag2_impflag,ln_gdp_per_capita_lag1_impflag,ln_gdp_per_capita_lag2_impflag,debt_to_gdp_lag1_impflag,debt_to_gdp_lag2_impflag,deficit_to_gdp_lag1_impflag,deficit_to_gdp_lag2_impflag,current_account_balance_lag1_impflag,current_account_balance_lag2_impflag,wgi_cc_impflag,wgi_ge_impflag,wgi_pv_impflag,wgi_rl_impflag,wgi_rq_impflag,wgi_va_impflag,gain_impflag
2019,NOR,1.4903786615473686,-0.6537208201113235,2.173685606863182,1.1,76303.704,408.743,40.558,38154.0785,3.792,0.256705097134546,2.0337541103363037,1.827731966972351,1.142112135887146,1.9408434629440308,1.79789400100708,1.6535429954528809,76.2700194875748,74.53902058227155,-0.6536466741277991,11.242476761310519,6.013086596682559,-1.052696692839642,-0.7260022905996877,2.7621780973031194,1.879851302951822,0.85,2.5,11.321837184503687,11.237700835363984,6.086295066439067,5.99581755898946,39.413,38.257,41305.82,37971.36,8.954,6.313,-1.2258243664295065,-2.045100479261805,False,-0.6536466741277991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NOR,0.8187360029547959,-0.0759326953060077,1.2861337084059328,-1.275,68275.277,367.633,46.112,34135.353,1.103,0.256963602052848,2.0657691955566406,1.8877723217010496,1.2216057777404783,1.9299217462539673,1.6942696571350098,1.7202271223068235,76.0046582733031,74.53902058227155,-0.26536121427170656,11.131303003455608,5.907085157943063,-0.6537208201113235,-1.052696692839642,2.173685606863182,2.7621780973031194,1.1,0.85,11.242476761310519,11.321837184503687,6.013086596682559,6.086295066439067,40.558,39.413,38154.0785,41305.82,3.792,8.954,-1.6092140771654044,-2.2674162868247123,False,-0.26536121427170656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,NOR,1.395940150001706,-0.0464284328520026,3.4806954820842453,3.925,92955.249,503.368,41.641,46482.1525,14.885,0.256395531638302,2.1083104610443115,1.7953993082046509,1.0886263847351074,1.9079183340072632,1.628607153892517,1.7380355596542358,76.6343950685344,74.53902058227155,0.6297367952313095,11.439873462776237,6.221321512941329,-0.0759326953060077,-0.6537208201113235,1.2861337084059328,2.173685606863182,-1.275,1.1,11.131303003455608,11.242476761310519,5.907085157943063,6.013086596682559,46.112,40.558,34135.353,38154.0785,1.103,3.792,-0.2892710931681961,-0.8614487854699036,False,0.6297367952313095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NOR,2.830359568511198,-0.1215595453967594,5.752721267826434,3.3000000000000003,108908.039,596.298,36.111,54466.11500000001,29.631,0.255191471668855,2.067638397216797,1.9417202472686768,0.8612392544746399,1.760852932929993,1.5161395072937012,1.7806752920150757,76.6347703920986,74.53902058227155,0.0003753235641994479,11.598259126214854,6.390740542107001,-0.0464284328520026,-0.0759326953060077,3.4806954820842453,1.2861337084059328,3.925,-1.275,11.439873462776237,11.131303003455608,6.221321512941329,5.907085157943063,41.641,46.112,46482.1525,34135.353,14.885,1.103,0.36475090452380243,-0.9791019583698954,False,0.0003753235641994479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NOR,3.468877077048488,-0.4879686646113268,5.538442287881601,0.0499999999999999,87276.15,482.95,44.21200000000001,43645.15549999999,17.38,0.2556147185431,2.1135215759277344,1.7999353408813477,0.8928574323654175,1.8339815139770508,1.5975234508514404,1.777254343032837,76.7894568307142,74.53902058227155,0.15468643861559883,11.376832508626613,6.179913128625305,-0.1215595453967594,-0.0464284328520026,5.752721267826434,3.4806954820842453,3.3000000000000003,3.925,11.598259126214854,11.439873462776237,6.390740542107001,6.221321512941329,36.111,41.641,54466.11500000001,46482.1525,29.631,14.885,0.7847985574111078,-0.13420933098839782,False,0.15468643861559883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NZL,7.776436727523684,1.195787066893188,3.760820562585677,4.875,16932.664,62.24100000000001,43.482,8471.2685,-3.952,0.317336398368869,,,,,,,66.9689104419889,71.48786190674497,,9.736999816558175,4.131013946579112,,,,,,,,,,,,,,,,,,,False,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1996,NZL,7.894815444820879,1.456545043438636,2.28498605294416,4.075,18506.076,69.1,37.258,9256.9715,-4.721,0.316951985192253,2.110245704650879,1.7717665433883667,1.3419924974441528,1.8583937883377075,1.891940116882324,1.6295582056045532,67.0711904881997,71.48786190674497,0.102280046210808,9.825854389576724,4.235554730773624,1.195787066893188,,3.760820562585677,,4.875,,9.736999816558175,,4.131013946579112,,43.482,,8471.2685,,-3.952,,,,False,0.102280046210808,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1997,NZL,7.190139398232076,0.8381379837109243,1.1896702929709473,2.5,18206.677,68.869,34.643,9106.1765,-5.204,0.31766528279003,,,,,,,67.2588199175307,71.48786190674497,0.1876294293309968,9.809543673917096,4.232206149340836,1.456545043438636,1.195787066893188,2.28498605294416,3.760820562585677,4.075,4.875,9.825854389576724,9.736999816558175,4.235554730773624,4.131013946579112,37.258,43.482,9256.9715,8471.2685,-4.721,-3.952,,,False,0.1876294293309968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1998,NZL,6.287682354354264,1.0239077094085671,1.2669797597370034,0.3999999999999999,14889.47,56.815,34.476,7446.469,-2.782,0.318250240431152,2.1484529972076416,1.6287060976028442,1.3163301944732666,1.850499153137207,1.9563043117523191,1.557806134223938,67.6212649637508,71.48786190674497,0.36244504622010254,9.60840953068593,4.039800375369972,0.8381379837109243,1.456545043438636,1.1896702929709473,2.28498605294416,2.5,4.075,9.809543673917096,9.825854389576724,4.232206149340836,4.235554730773624,34.643,37.258,9106.1765,9256.9715,-5.204,-4.721,0.6523545217619073,,False,0.36244504622010254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,NZL,6.412742962753832,0.7756645837529706,-0.1132818600046686,4.4750000000000005,15348.777,58.898,31.996,7675.558,-5.002,0.317120714008721,,,,,,,68.0225838915689,71.48786190674497,0.40131892781809597,9.63879107557408,4.075807134223642,1.0239077094085671,0.8381379837109243,1.2669797597370034,1.1896702929709473,0.3999999999999999,2.5,9.60840953068593,9.809543673917096,4.039800375369972,4.232206149340836,34.476,34.643,7446.469,9106.1765,-2.782,-5.204,0.9513934033691953,,False,0.40131892781809597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
