Country,Total_Observations,overall_completeness,sovereign_yield,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,debt_to_gdp,deficit_to_gdp,current_account_balance,NEER,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,Rating_Fitch,Outlook_Fitch,Rating_S&P,Outlook_S&P,Rating_DBRS,Outlook_DBRS,Rating_Moody's,Outlook_Moody's
ARM,660,51.3,56.1,56.1,100.0,13.6,0.0,7.3,0.0,0.0,3.6,12.7,20.0,20.0,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ZMB,774,48.2,44.2,44.2,100.0,39.5,3.9,22.5,3.9,3.9,10.1,17.8,25.6,25.6,25.6,25.6,25.6,25.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UGA,780,47.9,61.0,61.0,100.0,50.0,0.0,10.8,0.0,0.0,6.2,13.8,24.6,24.6,24.6,24.6,24.6,24.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
IND,984,46.9,1.0,1.0,100.0,37.2,12.2,14.6,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LKA,847,46.5,69.9,69.9,100.0,38.7,0.8,0.8,0.8,0.8,8.6,17.8,29.2,29.2,29.2,29.2,29.2,29.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SRB,684,46.1,77.2,77.2,100.0,5.3,7.0,8.8,7.0,8.8,100.0,7.0,15.8,15.8,15.8,15.8,15.8,15.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PAK,936,45.6,4.8,4.8,100.0,77.9,14.1,19.2,12.8,12.8,17.3,25.6,35.9,35.9,35.9,35.9,35.9,35.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BGD,864,44.5,41.4,41.4,100.0,100.0,0.0,36.1,0.0,0.0,9.7,19.4,30.6,30.6,30.6,30.6,30.6,30.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CIV,780,43.4,90.0,90.0,100.0,100.0,0.0,10.8,0.0,0.0,6.2,13.8,24.6,24.6,24.6,24.6,24.6,24.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EST,552,19.0,100.0,100.0,42.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.4,44.7,38.9,38.9,81.5,81.5,38.4,38.4
URY,555,18.9,100.0,100.0,58.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.4,36.8,68.6,68.6,61.3,61.3,29.7,29.7
KWT,552,16.5,100.0,100.0,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.9,44.9,38.6,38.6,100.0,100.0,34.8,34.8
SAU,552,16.0,100.0,100.0,35.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,54.0,51.1,51.1,100.0,100.0,34.8,34.8
UKR,559,15.8,100.0,100.0,56.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,46.0,47.0,47.0,100.0,100.0,38.8,38.8
MAR,552,14.8,100.0,100.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.2,59.2,39.5,39.5,100.0,100.0,42.4,42.4
