iso3c,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,date
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-12-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-01-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-02-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-03-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-04-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-05-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-06-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-07-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-08-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-09-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-10-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-11-01
CAN,1.8058662414550781,1.9006977081298828,0.8764474987983704,1.6871472597122192,1.616421103477478,1.6684545278549194,2004-12-01
CAN,1.8697006702423096,1.8824594020843506,0.8287250399589539,1.6501471996307373,1.5657497644424438,1.506879448890686,2005-01-01
CAN,1.8697006702423096,1.8824594020843506,0.8287250399589539,1.6501471996307373,1.5657497644424438,1.506879448890686,2005-02-01
CAN,1.8697006702423096,1.8824594020843506,0.8287250399589539,1.6501471996307373,1.5657497644424438,1.506879448890686,2005-03-01
