iso3,Date,deficit-to-gdp
ARE,2015-08-01,-6.35
ARE,2015-08-01,42373.624
ARE,2015-09-01,-6.35
ARE,2015-09-01,42373.624
ARE,2015-10-01,-6.35
ARE,2015-10-01,42373.624
ARE,2015-11-01,-6.35
ARE,2015-11-01,42373.624
ARE,2015-12-01,-6.35
ARE,2015-12-01,42373.624
ARE,2016-01-01,-2.905
ARE,2016-01-01,40436.026
ARE,2016-02-01,-2.905
ARE,2016-02-01,40436.026
ARE,2016-03-01,-2.905
ARE,2016-03-01,40436.026
ARE,2016-04-01,-2.905
ARE,2016-04-01,40436.026
ARE,2016-05-01,-2.905
ARE,2016-05-01,40436.026
ARE,2016-06-01,-2.905
ARE,2016-06-01,40436.026
ARE,2016-07-01,-2.905
ARE,2016-07-01,40436.026
ARE,2016-08-01,-2.905
ARE,2016-08-01,40436.026
ARE,2016-09-01,-2.905
ARE,2016-09-01,40436.026
ARE,2016-10-01,-2.905
ARE,2016-10-01,40436.026
ARE,2016-11-01,-2.905
ARE,2016-11-01,40436.026
ARE,2016-12-01,-2.905
ARE,2016-12-01,40436.026
ARE,2017-01-01,-0.03
ARE,2017-01-01,41925.188
ARE,2017-02-01,-0.03
ARE,2017-02-01,41925.188
ARE,2017-03-01,-0.03
ARE,2017-03-01,41925.188
ARE,2017-04-01,-0.03
ARE,2017-04-01,41925.188
ARE,2017-05-01,-0.03
ARE,2017-05-01,41925.188
ARE,2017-06-01,-0.03
ARE,2017-06-01,41925.188
ARE,2017-07-01,-0.03
ARE,2017-07-01,41925.188
ARE,2017-08-01,-0.03
ARE,2017-08-01,41925.188
ARE,2017-09-01,-0.03
ARE,2017-09-01,41925.188
ARE,2017-10-01,-0.03
ARE,2017-10-01,41925.188
ARE,2017-11-01,-0.03
ARE,2017-11-01,41925.188
ARE,2017-12-01,-0.03
ARE,2017-12-01,41925.188
ARE,2018-01-01,4.003
ARE,2018-01-01,45533.526
ARE,2018-02-01,4.003
ARE,2018-02-01,45533.526
ARE,2018-03-01,4.003
ARE,2018-03-01,45533.526
ARE,2018-04-01,4.003
ARE,2018-04-01,45533.526
ARE,2018-05-01,4.003
ARE,2018-05-01,45533.526
ARE,2018-06-01,4.003
ARE,2018-06-01,45533.526
ARE,2018-07-01,4.003
ARE,2018-07-01,45533.526
ARE,2018-08-01,4.003
ARE,2018-08-01,45533.526
ARE,2018-09-01,4.003
