date,yield,iso3
2014-04-01,2.000772727272727,CZE
2014-05-01,1.7393181818181818,CZE
2014-06-01,1.553809523809524,CZE
2014-07-01,1.485086956521739,CZE
2014-08-01,1.3828571428571428,CZE
2014-09-01,1.2131818181818181,CZE
2014-10-01,1.0894782608695652,CZE
2014-11-01,0.8664,CZE
2014-12-01,0.6833478260869565,CZE
2015-01-01,0.4212727272727273,CZE
2015-02-01,0.58895,CZE
2015-03-01,0.5328571428571428,CZE
2015-04-01,0.4350454545454545,CZE
2015-05-01,0.7543,CZE
2015-06-01,1.1919473684210526,CZE
2015-07-01,1.1467272727272728,CZE
2015-08-01,0.897,CZE
2015-09-01,0.7878000000000001,CZE
2015-10-01,0.599952380952381,CZE
2015-11-01,0.5362857142857143,CZE
2015-12-01,0.5615,CZE
2016-01-01,0.6804,CZE
2016-02-01,0.5231904761904762,CZE
2016-03-01,0.43273913043478257,CZE
2016-04-01,0.4721904761904762,CZE
2016-05-01,0.4946818181818182,CZE
2016-06-01,0.48768181818181816,CZE
2016-07-01,0.4074761904761905,CZE
2016-08-01,0.3278181818181818,CZE
2016-09-01,0.27131818181818185,CZE
2016-10-01,0.3700952380952381,CZE
2016-11-01,0.5488181818181818,CZE
2016-12-01,0.5228636363636364,CZE
2017-01-01,0.46354545454545454,CZE
2017-02-01,0.5586190476190476,CZE
2017-03-01,0.8368181818181818,CZE
2017-04-01,1.00095,CZE
2017-05-01,0.8260869565217391,CZE
2017-06-01,0.8473181818181819,CZE
2017-07-01,0.9681428571428571,CZE
2017-08-01,0.8935217391304349,CZE
2017-09-01,1.0293809523809525,CZE
2017-10-01,1.4588636363636363,CZE
2017-11-01,1.674842105263158,CZE
2017-12-01,1.4582857142857142,CZE
2018-01-01,1.7515882352941177,CZE
2018-02-01,1.8267499999999999,CZE
2018-03-01,1.9339090909090908,CZE
2018-04-01,1.7871428571428571,CZE
2018-05-01,1.8652272727272725,CZE
2018-06-01,2.1182857142857143,CZE
2018-07-01,2.155545454545454,CZE
2018-08-01,2.170391304347826,CZE
2018-09-01,2.15915,CZE
2018-10-01,2.1521304347826087,CZE
2018-11-01,2.095666666666667,CZE
2018-12-01,2.0283333333333333,CZE
2019-01-01,1.8222608695652174,CZE
2019-02-01,1.80925,CZE
2019-03-01,1.8913333333333335,CZE
2019-04-01,1.8512727272727274,CZE
2019-05-01,1.82625,CZE
2019-06-01,1.5878,CZE
2019-07-01,1.421909090909091,CZE
2019-08-01,1.025782608695652,CZE
2019-09-01,1.300857142857143,CZE
2019-10-01,1.34852,CZE
2019-11-01,1.4948095238095238,CZE
2019-12-01,1.5521052631578947,CZE
2020-01-01,1.6477272727272727,CZE
2020-02-01,1.5231,CZE
2020-03-01,1.3882631578947369,CZE
2020-04-01,1.3635,CZE
2020-05-01,0.9281428571428572,CZE
2020-06-01,0.8468636363636364,CZE
2020-07-01,0.8260000000000001,CZE
2020-08-01,0.940047619047619,CZE
2020-09-01,0.9856363636363636,CZE
2020-10-01,0.9504545454545454,CZE
2020-11-01,1.1412857142857142,CZE
2020-12-01,1.2603478260869565,CZE
2021-01-01,1.27715,CZE
2021-02-01,1.49085,CZE
2021-03-01,1.8515652173913042,CZE
2021-04-01,1.83555,CZE
2021-05-01,1.7825714285714285,CZE
2021-06-01,1.7593636363636365,CZE
2021-07-01,1.7761363636363638,CZE
2021-08-01,1.806590909090909,CZE
2021-09-01,1.9620909090909089,CZE
2021-10-01,2.4145238095238093,CZE
2021-11-01,2.709454545454545,CZE
2021-12-01,2.713047619047619,CZE
2022-01-01,3.2170476190476185,CZE
2022-02-01,3.07125,CZE
2022-03-01,3.600772727272727,CZE
2022-04-01,4.195809523809523,CZE
2022-05-01,4.7925,CZE
2022-06-01,5.229,CZE
2022-07-01,4.401952380952381,CZE
2022-08-01,4.106181818181818,CZE
2022-09-01,4.763090909090909,CZE
2022-10-01,5.625190476190476,CZE
2022-11-01,5.138590909090909,CZE
2022-12-01,4.812666666666667,CZE
2023-01-01,4.538636363636363,CZE
2023-02-01,4.6613,CZE
2023-03-01,4.699173913043478,CZE
2023-04-01,4.689222222222223,CZE
2023-05-01,4.528181818181817,CZE
2023-06-01,4.3464090909090904,CZE
2023-07-01,4.152666666666667,CZE
2023-08-01,4.272,CZE
2023-09-01,4.510285714285714,CZE
2023-10-01,4.765772727272727,CZE
2023-11-01,4.411619047619048,CZE
2023-12-01,3.9438421052631574,CZE
2024-01-01,3.8666818181818177,CZE
2024-02-01,3.7402380952380954,CZE
2024-03-01,3.8124000000000002,CZE
2024-04-01,4.250380952380953,CZE
2024-05-01,4.211956521739131,CZE
2024-06-01,4.2162500000000005,CZE
2024-07-01,3.9329565217391305,CZE
2024-08-01,3.7387727272727274,CZE
2024-09-01,3.7265238095238096,CZE
2024-10-01,3.942521739130435,CZE
2024-11-01,3.978904761904762,CZE
2024-12-01,4.022777777777778,CZE
2025-01-01,4.084545454545455,CZE
2025-02-01,3.979,CZE
2025-03-01,4.239090909090909,CZE
2025-04-01,4.072333333333334,CZE
2025-05-01,4.1535,CZE
2025-06-01,4.236476190476191,CZE
2025-07-01,4.258875,CZE
1980-01-01,8.06391304347826,DEU
1980-02-01,8.393809523809525,DEU
1980-03-01,9.37095238095238,DEU
1980-04-01,9.361363636363636,DEU
1980-05-01,8.595454545454546,DEU
1980-06-01,8.18,DEU
1980-07-01,7.9534782608695656,DEU
1980-08-01,7.838571428571429,DEU
1980-09-01,8.175454545454544,DEU
1980-10-01,8.36,DEU
1980-11-01,8.704,DEU
1980-12-01,8.862173913043478,DEU
1981-01-01,8.98,DEU
1981-02-01,9.7605,DEU
1981-03-01,10.083636363636364,DEU
1981-04-01,10.048181818181819,DEU
1981-05-01,10.383809523809523,DEU
1981-06-01,10.482272727272727,DEU
1981-07-01,10.55,DEU
1981-08-01,10.536666666666665,DEU
1981-09-01,10.587272727272728,DEU
1981-10-01,10.257727272727273,DEU
1981-11-01,9.925238095238095,DEU
1981-12-01,9.711739130434783,DEU
1982-01-01,9.826666666666668,DEU
1982-02-01,9.7605,DEU
1982-03-01,9.432173913043478,DEU
