iso3,Date,account balance
ARE,2014-01-01,13.159
ARE,2014-02-01,13.159
ARE,2014-03-01,13.159
ARE,2014-04-01,13.159
ARE,2014-05-01,13.159
ARE,2014-06-01,13.159
ARE,2014-07-01,13.159
ARE,2014-08-01,13.159
ARE,2014-09-01,13.159
ARE,2014-10-01,13.159
ARE,2014-11-01,13.159
ARE,2014-12-01,13.159
ARE,2015-01-01,4.74
ARE,2015-02-01,4.74
ARE,2015-03-01,4.74
ARE,2015-04-01,4.74
ARE,2015-05-01,4.74
ARE,2015-06-01,4.74
ARE,2015-07-01,4.74
ARE,2015-08-01,4.74
ARE,2015-09-01,4.74
ARE,2015-10-01,4.74
ARE,2015-11-01,4.74
ARE,2015-12-01,4.74
ARE,2016-01-01,3.575
ARE,2016-02-01,3.575
ARE,2016-03-01,3.575
ARE,2016-04-01,3.575
ARE,2016-05-01,3.575
ARE,2016-06-01,3.575
ARE,2016-07-01,3.575
ARE,2016-08-01,3.575
ARE,2016-09-01,3.575
ARE,2016-10-01,3.575
ARE,2016-11-01,3.575
ARE,2016-12-01,3.575
ARE,2017-01-01,7.042
ARE,2017-02-01,7.042
ARE,2017-03-01,7.042
ARE,2017-04-01,7.042
ARE,2017-05-01,7.042
ARE,2017-06-01,7.042
ARE,2017-07-01,7.042
ARE,2017-08-01,7.042
ARE,2017-09-01,7.042
ARE,2017-10-01,7.042
ARE,2017-11-01,7.042
ARE,2017-12-01,7.042
ARE,2018-01-01,9.658
ARE,2018-02-01,9.658
ARE,2018-03-01,9.658
ARE,2018-04-01,9.658
ARE,2018-05-01,9.658
ARE,2018-06-01,9.658
ARE,2018-07-01,9.658
ARE,2018-08-01,9.658
ARE,2018-09-01,9.658
ARE,2018-10-01,9.658
ARE,2018-11-01,9.658
ARE,2018-12-01,9.658
ARE,2019-01-01,8.929
ARE,2019-02-01,8.929
ARE,2019-03-01,8.929
ARE,2019-04-01,8.929
ARE,2019-05-01,8.929
ARE,2019-06-01,8.929
ARE,2019-07-01,8.929
ARE,2019-08-01,8.929
ARE,2019-09-01,8.929
ARE,2019-10-01,8.929
ARE,2019-11-01,8.929
ARE,2019-12-01,8.929
ARE,2020-01-01,6.038
ARE,2020-02-01,6.038
ARE,2020-03-01,6.038
ARE,2020-04-01,6.038
ARE,2020-05-01,6.038
ARE,2020-06-01,6.038
ARE,2020-07-01,6.038
ARE,2020-08-01,6.038
ARE,2020-09-01,6.038
ARE,2020-10-01,6.038
ARE,2020-11-01,6.038
ARE,2020-12-01,6.038
ARE,2021-01-01,11.549
ARE,2021-02-01,11.549
ARE,2021-03-01,11.549
ARE,2021-04-01,11.549
ARE,2021-05-01,11.549
ARE,2021-06-01,11.549
ARE,2021-07-01,11.549
ARE,2021-08-01,11.549
ARE,2021-09-01,11.549
ARE,2021-10-01,11.549
ARE,2021-11-01,11.549
ARE,2021-12-01,11.549
ARE,2022-01-01,13.223
ARE,2022-02-01,13.223
ARE,2022-03-01,13.223
ARE,2022-04-01,13.223
ARE,2022-05-01,13.223
ARE,2022-06-01,13.223
ARE,2022-07-01,13.223
ARE,2022-08-01,13.223
ARE,2022-09-01,13.223
ARE,2022-10-01,13.223
ARE,2022-11-01,13.223
ARE,2022-12-01,13.223
ARE,2023-01-01,10.665
ARE,2023-02-01,10.665
ARE,2023-03-01,10.665
ARE,2023-04-01,10.665
ARE,2023-05-01,10.665
ARE,2023-06-01,10.665
ARE,2023-07-01,10.665
ARE,2023-08-01,10.665
ARE,2023-09-01,10.665
ARE,2023-10-01,10.665
ARE,2023-11-01,10.665
ARE,2023-12-01,10.665
ARE,2024-01-01,9.127
ARE,2024-02-01,9.127
ARE,2024-03-01,9.127
ARE,2024-04-01,9.127
ARE,2024-05-01,9.127
ARE,2024-06-01,9.127
ARE,2024-07-01,9.127
ARE,2024-08-01,9.127
ARE,2024-09-01,9.127
ARE,2024-10-01,9.127
ARE,2024-11-01,9.127
ARE,2024-12-01,9.127
ARE,2025-01-01,6.61
ARE,2025-02-01,6.61
ARE,2025-03-01,6.61
ARE,2025-04-01,6.61
ARE,2025-05-01,6.61
ARE,2025-06-01,6.61
ARE,2025-07-01,6.61
ARE,2025-08-01,6.61
ARE,2025-09-01,6.61
ARE,2025-10-01,6.61
ARE,2025-11-01,6.61
ARE,2025-12-01,6.61
ARG,1990-01-01,2.952
ARG,1990-02-01,2.952
ARG,1990-03-01,2.952
ARG,1990-04-01,2.952
ARG,1990-05-01,2.952
ARG,1990-06-01,2.952
ARG,1990-07-01,2.952
ARG,1990-08-01,2.952
ARG,1990-09-01,2.952
ARG,1990-10-01,2.952
ARG,1990-11-01,2.952
ARG,1990-12-01,2.952
ARG,1991-01-01,-0.202
ARG,1991-02-01,-0.202
ARG,1991-03-01,-0.202
ARG,1991-04-01,-0.202
ARG,1991-05-01,-0.202
ARG,1991-06-01,-0.202
ARG,1991-07-01,-0.202
ARG,1991-08-01,-0.202
ARG,1991-09-01,-0.202
ARG,1991-10-01,-0.202
ARG,1991-11-01,-0.202
ARG,1991-12-01,-0.202
ARG,1992-01-01,-2.529
ARG,1992-02-01,-2.529
ARG,1992-03-01,-2.529
ARG,1992-04-01,-2.529
ARG,1992-05-01,-2.529
ARG,1992-06-01,-2.529
ARG,1992-07-01,-2.529
ARG,1992-08-01,-2.529
ARG,1992-09-01,-2.529
ARG,1992-10-01,-2.529
ARG,1992-11-01,-2.529
ARG,1992-12-01,-2.529
ARG,1993-01-01,-3.042
ARG,1993-02-01,-3.042
ARG,1993-03-01,-3.042
ARG,1993-04-01,-3.042
ARG,1993-05-01,-3.042
ARG,1993-06-01,-3.042
ARG,1993-07-01,-3.042
ARG,1993-08-01,-3.042
ARG,1993-09-01,-3.042
ARG,1993-10-01,-3.042
ARG,1993-11-01,-3.042
ARG,1993-12-01,-3.042
ARG,1994-01-01,-3.815
ARG,1994-02-01,-3.815
ARG,1994-03-01,-3.815
ARG,1994-04-01,-3.815
ARG,1994-05-01,-3.815
ARG,1994-06-01,-3.815
ARG,1994-07-01,-3.815
ARG,1994-08-01,-3.815
ARG,1994-09-01,-3.815
ARG,1994-10-01,-3.815
ARG,1994-11-01,-3.815
ARG,1994-12-01,-3.815
ARG,1995-01-01,-1.769
ARG,1995-02-01,-1.769
ARG,1995-03-01,-1.769
ARG,1995-04-01,-1.769
ARG,1995-05-01,-1.769
ARG,1995-06-01,-1.769
ARG,1995-07-01,-1.769
ARG,1995-08-01,-1.769
ARG,1995-09-01,-1.769
ARG,1995-10-01,-1.769
ARG,1995-11-01,-1.769
ARG,1995-12-01,-1.769
ARG,1996-01-01,-2.352
ARG,1996-02-01,-2.352
ARG,1996-03-01,-2.352
ARG,1996-04-01,-2.352
ARG,1996-05-01,-2.352
ARG,1996-06-01,-2.352
ARG,1996-07-01,-2.352
ARG,1996-08-01,-2.352
ARG,1996-09-01,-2.352
ARG,1996-10-01,-2.352
ARG,1996-11-01,-2.352
ARG,1996-12-01,-2.352
ARG,1997-01-01,-3.753
ARG,1997-02-01,-3.753
ARG,1997-03-01,-3.753
ARG,1997-04-01,-3.753
ARG,1997-05-01,-3.753
ARG,1997-06-01,-3.753
ARG,1997-07-01,-3.753
ARG,1997-08-01,-3.753
ARG,1997-09-01,-3.753
ARG,1997-10-01,-3.753
ARG,1997-11-01,-3.753
ARG,1997-12-01,-3.753
ARG,1998-01-01,-4.38
ARG,1998-02-01,-4.38
ARG,1998-03-01,-4.38
ARG,1998-04-01,-4.38
ARG,1998-05-01,-4.38
ARG,1998-06-01,-4.38
ARG,1998-07-01,-4.38
ARG,1998-08-01,-4.38
ARG,1998-09-01,-4.38
ARG,1998-10-01,-4.38
ARG,1998-11-01,-4.38
ARG,1998-12-01,-4.38
ARG,1999-01-01,-3.815
ARG,1999-02-01,-3.815
ARG,1999-03-01,-3.815
ARG,1999-04-01,-3.815
ARG,1999-05-01,-3.815
ARG,1999-06-01,-3.815
ARG,1999-07-01,-3.815
ARG,1999-08-01,-3.815
ARG,1999-09-01,-3.815
ARG,1999-10-01,-3.815
ARG,1999-11-01,-3.815
ARG,1999-12-01,-3.815
ARG,2000-01-01,-2.878
ARG,2000-02-01,-2.878
ARG,2000-03-01,-2.878
ARG,2000-04-01,-2.878
ARG,2000-05-01,-2.878
ARG,2000-06-01,-2.878
ARG,2000-07-01,-2.878
ARG,2000-08-01,-2.878
ARG,2000-09-01,-2.878
ARG,2000-10-01,-2.878
ARG,2000-11-01,-2.878
ARG,2000-12-01,-2.878
ARG,2001-01-01,-1.316
ARG,2001-02-01,-1.316
ARG,2001-03-01,-1.316
ARG,2001-04-01,-1.316
ARG,2001-05-01,-1.316
ARG,2001-06-01,-1.316
ARG,2001-07-01,-1.316
ARG,2001-08-01,-1.316
ARG,2001-09-01,-1.316
ARG,2001-10-01,-1.316
ARG,2001-11-01,-1.316
ARG,2001-12-01,-1.316
ARG,2002-01-01,7.666
ARG,2002-02-01,7.666
ARG,2002-03-01,7.666
ARG,2002-04-01,7.666
ARG,2002-05-01,7.666
ARG,2002-06-01,7.666
ARG,2002-07-01,7.666
ARG,2002-08-01,7.666
ARG,2002-09-01,7.666
ARG,2002-10-01,7.666
ARG,2002-11-01,7.666
ARG,2002-12-01,7.666
ARG,2003-01-01,5.597
ARG,2003-02-01,5.597
ARG,2003-03-01,5.597
ARG,2003-04-01,5.597
