date,iso3c,year,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,GAIN
2015-01-01,CHE,2015,-0.06713758417508418,-2.203361179780259,-1.1437706415087219,1.6500000000000001,84220.118,693.805,42.16,42110.448000000004,8.877,0.282400066569062,2.0947418212890625,1.967453360557556,1.326494216918945,1.9092810153961184,1.7294563055038452,1.558680534362793,7.60813672036602
2016-01-01,CHE,2016,-0.3550147578267144,-2.196579444411424,-0.4340284401472565,2.075,82595.245,687.7710000000001,40.934,41297.829999999994,7.276,0.282296173158284,1.9429864883422852,1.9717808961868288,1.2898540496826172,1.9061628580093384,1.900379657745361,1.5323622226715088,5.54408375928949
2017-01-01,CHE,2017,-0.10103448878014092,-2.4315322582367203,0.5339751593588449,1.3499999999999999,82606.13,695.544,41.751,41303.702000000005,5.313,0.258394163070271,1.9451879262924192,2.017803192138672,1.242316484451294,1.8886719942092896,1.8755749464035032,1.557285189628601,6.01089759329253
2018-01-01,CHE,2018,0.005512253356546849,-2.9052032945712436,0.9361380252132481,2.875,85562.182,725.91,39.783,42781.7805,5.598,0.256483648587123,1.9696937799453735,1.9970768690109253,1.3194819688796997,1.88756000995636,1.7912358045578003,1.59282386302948,5.01764387683961
2019-01-01,CHE,2019,-0.5002758706714084,-2.644375352330101,0.36325590202741176,1.125,84478.285,721.8669999999998,39.637,42239.8395,3.506,0.256238797287465,1.944926619529724,1.9162276983261108,1.310975432395935,1.8626593351364136,1.651987910270691,1.4955354928970337,3.90157970409268
2020-01-01,CHE,2020,-0.5104441617878689,-1.4051128600486724,-0.7246683469808232,-2.125,86136.149,741.288,43.20000000000001,43066.6005,0.49300000000000005,0.255350560803248,2.0454294681549072,1.9720230102539065,1.1762402057647705,1.7768902778625488,1.5848926305770874,1.5361629724502563,4.49599185884379
2021-01-01,CHE,2021,-0.25377437042045164,-1.6961429532741603,0.5831750352722845,5.625,93967.642,814.699,40.98,46983.745,7.049,0.252527009439457,1.9588381052017212,1.9907978773117063,1.1153756380081177,1.7679853439331057,1.7233154773712158,1.541669487953186,1.20017752305446
2022-01-01,CHE,2022,0.7958150053163212,-2.156104108591637,2.833252965468357,3.0999999999999996,94807.39900000002,828.522,37.191,47404.3455,8.722,0.251030071399067,2.009361982345581,2.0494349002838135,1.1597453355789185,1.7511883974075315,1.6201130151748655,1.6213468313217163,-2.08473932963584
2023-01-01,CHE,2023,1.0865044325652735,-2.8703413090945413,2.1411196670030797,0.6749999999999999,101516.39900000002,894.8669999999998,38.679,50758.318,5.248,0.251258452297331,2.0219991207122803,2.134927034378052,1.0714439153671265,1.761725664138794,1.7293800115585327,1.6650269031524658,-1.74992582069194
2024-01-01,CHE,2024,0.5976457154359328,-3.609557624352933,1.062542038935034,1.375,104523.348,936.7379999999999,37.578,52262.01499999999,5.066,,,,,,,,
