iso3,Date,gdp_per_capita
ARE,2013-10-01,51004.352
ARE,2013-11-01,51004.352
ARE,2013-12-01,51004.352
ARE,2014-01-01,50060.345
ARE,2014-02-01,50060.345
ARE,2014-03-01,50060.345
ARE,2014-04-01,50060.345
ARE,2014-05-01,50060.345
ARE,2014-06-01,50060.345
ARE,2014-07-01,50060.345
ARE,2014-08-01,50060.345
ARE,2014-09-01,50060.345
ARE,2014-10-01,50060.345
ARE,2014-11-01,50060.345
ARE,2014-12-01,50060.345
ARE,2015-01-01,42373.624
ARE,2015-02-01,42373.624
ARE,2015-03-01,42373.624
ARE,2015-04-01,42373.624
ARE,2015-05-01,42373.624
ARE,2015-06-01,42373.624
ARE,2015-07-01,42373.624
ARE,2015-08-01,42373.624
ARE,2015-09-01,42373.624
ARE,2015-10-01,42373.624
ARE,2015-11-01,42373.624
ARE,2015-12-01,42373.624
ARE,2016-01-01,40436.026
ARE,2016-02-01,40436.026
ARE,2016-03-01,40436.026
ARE,2016-04-01,40436.026
ARE,2016-05-01,40436.026
ARE,2016-06-01,40436.026
ARE,2016-07-01,40436.026
ARE,2016-08-01,40436.026
ARE,2016-09-01,40436.026
ARE,2016-10-01,40436.026
ARE,2016-11-01,40436.026
ARE,2016-12-01,40436.026
ARE,2017-01-01,41925.188
ARE,2017-02-01,41925.188
ARE,2017-03-01,41925.188
ARE,2017-04-01,41925.188
ARE,2017-05-01,41925.188
ARE,2017-06-01,41925.188
ARE,2017-07-01,41925.188
ARE,2017-08-01,41925.188
ARE,2017-09-01,41925.188
ARE,2017-10-01,41925.188
ARE,2017-11-01,41925.188
ARE,2017-12-01,41925.188
ARE,2018-01-01,45533.526
ARE,2018-02-01,45533.526
ARE,2018-03-01,45533.526
ARE,2018-04-01,45533.526
ARE,2018-05-01,45533.526
ARE,2018-06-01,45533.526
ARE,2018-07-01,45533.526
ARE,2018-08-01,45533.526
ARE,2018-09-01,45533.526
ARE,2018-10-01,45533.526
ARE,2018-11-01,45533.526
ARE,2018-12-01,45533.526
ARE,2019-01-01,43939.817
ARE,2019-02-01,43939.817
ARE,2019-03-01,43939.817
ARE,2019-04-01,43939.817
ARE,2019-05-01,43939.817
ARE,2019-06-01,43939.817
ARE,2019-07-01,43939.817
ARE,2019-08-01,43939.817
ARE,2019-09-01,43939.817
ARE,2019-10-01,43939.817
ARE,2019-11-01,43939.817
ARE,2019-12-01,43939.817
ARE,2020-01-01,37621.04
ARE,2020-02-01,37621.04
ARE,2020-03-01,37621.04
ARE,2020-04-01,37621.04
ARE,2020-05-01,37621.04
ARE,2020-06-01,37621.04
ARE,2020-07-01,37621.04
ARE,2020-08-01,37621.04
ARE,2020-09-01,37621.04
ARE,2020-10-01,37621.04
ARE,2020-11-01,37621.04
ARE,2020-12-01,37621.04
ARE,2021-01-01,42103.083
ARE,2021-02-01,42103.083
ARE,2021-03-01,42103.083
ARE,2021-04-01,42103.083
ARE,2021-05-01,42103.083
ARE,2021-06-01,42103.083
ARE,2021-07-01,42103.083
ARE,2021-08-01,42103.083
ARE,2021-09-01,42103.083
ARE,2021-10-01,42103.083
ARE,2021-11-01,42103.083
ARE,2021-12-01,42103.083
ARE,2022-01-01,48861.364
ARE,2022-02-01,48861.364
ARE,2022-03-01,48861.364
ARE,2022-04-01,48861.364
ARE,2022-05-01,48861.364
ARE,2022-06-01,48861.364
ARE,2022-07-01,48861.364
ARE,2022-08-01,48861.364
ARE,2022-09-01,48861.364
ARE,2022-10-01,48861.364
ARE,2022-11-01,48861.364
ARE,2022-12-01,48861.364
ARE,2023-01-01,48146.063
ARE,2023-02-01,48146.063
ARE,2023-03-01,48146.063
ARE,2023-04-01,48146.063
ARE,2023-05-01,48146.063
ARE,2023-06-01,48146.063
ARE,2023-07-01,48146.063
ARE,2023-08-01,48146.063
ARE,2023-09-01,48146.063
ARE,2023-10-01,48146.063
ARE,2023-11-01,48146.063
ARE,2023-12-01,48146.063
ARE,2024-01-01,48830.171
ARE,2024-02-01,48830.171
ARE,2024-03-01,48830.171
ARE,2024-04-01,48830.171
ARE,2024-05-01,48830.171
ARE,2024-06-01,48830.171
ARE,2024-07-01,48830.171
ARE,2024-08-01,48830.171
ARE,2024-09-01,48830.171
ARE,2024-10-01,48830.171
ARE,2024-11-01,48830.171
ARE,2024-12-01,48830.171
ARE,2025-01-01,49498.384
ARE,2025-02-01,49498.384
ARE,2025-03-01,49498.384
ARE,2025-04-01,49498.384
ARE,2025-05-01,49498.384
ARE,2025-06-01,49498.384
ARE,2025-07-01,49498.384
ARE,2025-08-01,49498.384
ARE,2025-09-01,49498.384
ARE,2025-10-01,49498.384
ARE,2025-11-01,49498.384
ARE,2025-12-01,49498.384
ARG,1990-01-01,4857.796
ARG,1990-02-01,4857.796
ARG,1990-03-01,4857.796
ARG,1990-04-01,4857.796
ARG,1990-05-01,4857.796
ARG,1990-06-01,4857.796
ARG,1990-07-01,4857.796
ARG,1990-08-01,4857.796
ARG,1990-09-01,4857.796
ARG,1990-10-01,4857.796
ARG,1990-11-01,4857.796
ARG,1990-12-01,4857.796
ARG,1991-01-01,6429.454
ARG,1991-02-01,6429.454
ARG,1991-03-01,6429.454
ARG,1991-04-01,6429.454
ARG,1991-05-01,6429.454
ARG,1991-06-01,6429.454
ARG,1991-07-01,6429.454
ARG,1991-08-01,6429.454
ARG,1991-09-01,6429.454
ARG,1991-10-01,6429.454
ARG,1991-11-01,6429.454
ARG,1991-12-01,6429.454
ARG,1992-01-01,7653.711
ARG,1992-02-01,7653.711
ARG,1992-03-01,7653.711
ARG,1992-04-01,7653.711
ARG,1992-05-01,7653.711
ARG,1992-06-01,7653.711
ARG,1992-07-01,7653.711
ARG,1992-08-01,7653.711
ARG,1992-09-01,7653.711
ARG,1992-10-01,7653.711
ARG,1992-11-01,7653.711
ARG,1992-12-01,7653.711
ARG,1993-01-01,7796.24
ARG,1993-02-01,7796.24
ARG,1993-03-01,7796.24
ARG,1993-04-01,7796.24
ARG,1993-05-01,7796.24
ARG,1993-06-01,7796.24
ARG,1993-07-01,7796.24
ARG,1993-08-01,7796.24
ARG,1993-09-01,7796.24
ARG,1993-10-01,7796.24
ARG,1993-11-01,7796.24
ARG,1993-12-01,7796.24
ARG,1994-01-01,8378.735
ARG,1994-02-01,8378.735
ARG,1994-03-01,8378.735
ARG,1994-04-01,8378.735
ARG,1994-05-01,8378.735
ARG,1994-06-01,8378.735
ARG,1994-07-01,8378.735
ARG,1994-08-01,8378.735
ARG,1994-09-01,8378.735
ARG,1994-10-01,8378.735
ARG,1994-11-01,8378.735
ARG,1994-12-01,8378.735
ARG,1995-01-01,8295.123
ARG,1995-02-01,8295.123
ARG,1995-03-01,8295.123
ARG,1995-04-01,8295.123
ARG,1995-05-01,8295.123
ARG,1995-06-01,8295.123
ARG,1995-07-01,8295.123
ARG,1995-08-01,8295.123
ARG,1995-09-01,8295.123
ARG,1995-10-01,8295.123
ARG,1995-11-01,8295.123
ARG,1995-12-01,8295.123
ARG,1996-01-01,8645.455
ARG,1996-02-01,8645.455
ARG,1996-03-01,8645.455
ARG,1996-04-01,8645.455
ARG,1996-05-01,8645.455
ARG,1996-06-01,8645.455
ARG,1996-07-01,8645.455
ARG,1996-08-01,8645.455
ARG,1996-09-01,8645.455
ARG,1996-10-01,8645.455
ARG,1996-11-01,8645.455
ARG,1996-12-01,8645.455
ARG,1997-01-01,9196.516
ARG,1997-02-01,9196.516
ARG,1997-03-01,9196.516
ARG,1997-04-01,9196.516
ARG,1997-05-01,9196.516
ARG,1997-06-01,9196.516
ARG,1997-07-01,9196.516
ARG,1997-08-01,9196.516
ARG,1997-09-01,9196.516
ARG,1997-10-01,9196.516
ARG,1997-11-01,9196.516
ARG,1997-12-01,9196.516
ARG,1998-01-01,9283.175
ARG,1998-02-01,9283.175
ARG,1998-03-01,9283.175
ARG,1998-04-01,9283.175
ARG,1998-05-01,9283.175
ARG,1998-06-01,9283.175
ARG,1998-07-01,9283.175
ARG,1998-08-01,9283.175
ARG,1998-09-01,9283.175
ARG,1998-10-01,9283.175
ARG,1998-11-01,9283.175
ARG,1998-12-01,9283.175
ARG,1999-01-01,8709.072
ARG,1999-02-01,8709.072
