year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,population,mineral_rent
1988,AUT,6.740795846665413,-2.1039933962871604,,,,,,,,,,,,,,,,,
1988,BEL,8.008174211054646,-0.8366150318979266,,4.575,,,,,,,,,,,,,,,
1988,CAN,9.830916666666669,0.986127423714094,,4.45,,,,,,,,,,,,,,,
1988,CHE,4.162068800789854,-4.6827204421627195,,3.275,,,,,,,,,,,,,,,
1988,CIV,,,,1.14,,,,,,,,,,,,,,,
1988,DEU,6.489166623739851,-2.3556226192127223,,3.4250000000000003,,,,,,,,,,,,,,,
1988,DNK,9.883704759813456,1.0389155168608832,,,,,,,,,,,,,,,,,
1988,ESP,12.431166666666668,3.586377423714094,,,,,,,,,,,,,,,,,
1988,ETH,,,,-0.4000000000000001,,,,,,,,,,,,,,,
1988,EUR,7.843526334776335,-1.0012629081762376,,,,,,,,,,,,,,,,,
1988,FIN,11.348333333333334,2.503544090380761,,,,,,,,,,,,,,,,,
1988,FRA,9.076420180061485,0.2316309371089121,,4.675,,,,,,,,,,,,,,,
1988,GBR,9.892195419378488,1.0474061764259133,,5.425,,,,,,,,,,,,,,,
1988,GRC,16.56833333333333,7.72354409038076,,,,,,,,,,,,,,,,,
1988,HKG,,,,8.6,,,,,,,,,,,,,,,
1988,IND,10.6575,1.8127107570474272,,10.2,,,,,,,,,,,,,,,
1988,IRL,9.343993759514069,0.4992045165614958,,,,,,,,,,,,,,,,,
1988,ITA,10.514541666666666,1.669752423714094,,4.3,,,,,,,,,,,,,,,
1988,JPN,5.060128619473585,-3.784660623478988,,7.3,,,,,,,,,,,,,,,
1988,KOR,,,,12.025,,,,,,,,,,,,,,,
1988,KWT,,,,-10.05,,,,,,,,,,,,,,,
1988,LUX,7.1258333333333335,-1.7189559096192395,,,,,,,,,,,,,,,,,
