Date,Country,Rating
1990-11-01,ISL,A
1990-11-01,ISR,BBB-
1990-11-01,ITA,AA+
1990-11-01,JPN,AAA
1990-11-01,KOR,A+
1990-11-01,MYS,A-
1990-11-01,NLD,AAA
1990-11-01,NOR,AAA
1990-11-01,PRT,A
1990-11-01,SGP,AA
1990-11-01,SWE,AAA
1990-11-01,THA,A-
1990-11-01,TWN,AA
1990-12-01,AUT,AAA
1990-12-01,BEL,AA+
1990-12-01,CAN,AAA
1990-12-01,CHE,AAA
1990-12-01,DEU,AAA
1990-12-01,DNK,AA
1990-12-01,ESP,AA
1990-12-01,FIN,AAA
1990-12-01,FRA,AAA
1990-12-01,GBR,AAA
1990-12-01,GRC,BBB-
1990-12-01,HKG,A
1990-12-01,IRL,AA-
1990-12-01,ISL,A
1990-12-01,ISR,BBB-
1990-12-01,ITA,AA+
1990-12-01,JPN,AAA
1990-12-01,KOR,A+
1990-12-01,MYS,A-
1990-12-01,NLD,AAA
1990-12-01,NOR,AAA
1990-12-01,PRT,A
1990-12-01,SGP,AA
1990-12-01,SWE,AAA
1990-12-01,THA,A-
1990-12-01,TWN,AA
1991-01-01,AUT,AAA
1991-01-01,BEL,AA+
1991-01-01,CAN,AAA
1991-01-01,CHE,AAA
1991-01-01,DEU,AAA
1991-01-01,DNK,AA
1991-01-01,ESP,AA
1991-01-01,FIN,AAA
1991-01-01,FRA,AAA
1991-01-01,GBR,AAA
1991-01-01,GRC,BBB-
1991-01-01,HKG,A
1991-01-01,IRL,AA-
1991-01-01,ISL,A
1991-01-01,ISR,BBB-
1991-01-01,ITA,AA+
1991-01-01,JPN,AAA
1991-01-01,KOR,A+
1991-01-01,MYS,A-
1991-01-01,NLD,AAA
1991-01-01,NOR,AAA
1991-01-01,PRT,A
1991-01-01,SGP,AA
1991-01-01,SWE,AAA
1991-01-01,THA,A-
1991-01-01,TWN,AA
1991-02-01,AUT,AAA
1991-02-01,BEL,AA+
1991-02-01,CAN,AAA
1991-02-01,CHE,AAA
1991-02-01,DEU,AAA
1991-02-01,DNK,AA
1991-02-01,ESP,AA
1991-02-01,FIN,AAA
1991-02-01,FRA,AAA
1991-02-01,GBR,AAA
1991-02-01,GRC,BBB-
1991-02-01,HKG,A
1991-02-01,IRL,AA-
1991-02-01,ISL,A
1991-02-01,ISR,BBB-
1991-02-01,ITA,AA+
1991-02-01,JPN,AAA
1991-02-01,KOR,A+
1991-02-01,MYS,A-
1991-02-01,NLD,AAA
1991-02-01,NOR,AAA
1991-02-01,PRT,A
1991-02-01,SGP,AA
1991-02-01,SWE,AAA
1991-02-01,THA,A-
1991-02-01,TWN,AA
1991-03-01,AUT,AAA
1991-03-01,BEL,AA+
1991-03-01,CAN,AAA
1991-03-01,CHE,AAA
1991-03-01,DEU,AAA
1991-03-01,DNK,AA
1991-03-01,ESP,AA
1991-03-01,FIN,AAA
1991-03-01,FRA,AAA
1991-03-01,GBR,AAA
1991-03-01,GRC,BBB-
1991-03-01,HKG,A
1991-03-01,IRL,AA-
1991-03-01,ISL,A
1991-03-01,ISR,BBB-
1991-03-01,ITA,AA+
1991-03-01,JPN,AAA
1991-03-01,KOR,A+
1991-03-01,MYS,A-
1991-03-01,NLD,AAA
1991-03-01,NOR,AAA
1991-03-01,PRT,A
1991-03-01,SGP,AA
1991-03-01,SWE,AAA
1991-03-01,THA,A-
1991-03-01,TWN,AA
1991-04-01,AUT,AAA
1991-04-01,BEL,AA+
1991-04-01,CAN,AAA
1991-04-01,CHE,AAA
1991-04-01,DEU,AAA
1991-04-01,DNK,AA
1991-04-01,ESP,AA
1991-04-01,FIN,AAA
1991-04-01,FRA,AAA
1991-04-01,GBR,AAA
1991-04-01,GRC,BBB-
1991-04-01,HKG,A
1991-04-01,IRL,AA-
1991-04-01,ISL,A
1991-04-01,ISR,BBB-
1991-04-01,ITA,AA+
1991-04-01,JPN,AAA
1991-04-01,KOR,A+
1991-04-01,MYS,A-
1991-04-01,NLD,AAA
1991-04-01,NOR,AAA
1991-04-01,PRT,A
1991-04-01,SGP,AA
1991-04-01,SWE,AAA
1991-04-01,THA,A-
1991-04-01,TWN,AA
1991-05-01,AUT,AAA
1991-05-01,BEL,AA+
