iso3,Date,NEER
ARG,2018-03-01,19.14
ARG,2018-04-01,19.78
ARG,2018-05-01,17.48
ARG,2018-06-01,15.83
ARG,2018-07-01,15.37
ARG,2018-08-01,14.22
ARG,2018-09-01,11.26
ARG,2018-10-01,11.54
ARG,2018-11-01,11.79
ARG,2018-12-01,11.43
ARG,2019-01-01,11.41
ARG,2019-02-01,11.1
ARG,2019-03-01,10.37
ARG,2019-04-01,10.0
ARG,2019-05-01,9.76
ARG,2019-06-01,9.9
ARG,2019-07-01,10.12
ARG,2019-08-01,8.37
ARG,2019-09-01,7.87
ARG,2019-10-01,7.56
ARG,2019-11-01,7.44
ARG,2019-12-01,7.38
ARG,2020-01-01,7.37
ARG,2020-02-01,7.35
ARG,2020-03-01,7.41
ARG,2020-04-01,7.32
ARG,2020-05-01,7.17
ARG,2020-06-01,6.76
ARG,2020-07-01,6.56
ARG,2020-08-01,6.37
ARG,2020-09-01,6.19
ARG,2020-10-01,6.05
ARG,2020-11-01,5.79
ARG,2020-12-01,5.46
ARG,2021-01-01,5.29
ARG,2021-02-01,5.15
ARG,2021-03-01,5.11
ARG,2021-04-01,4.98
ARG,2021-05-01,4.83
ARG,2021-06-01,4.73
ARG,2021-07-01,4.76
ARG,2021-08-01,4.74
ARG,2021-09-01,4.69
ARG,2021-10-01,4.73
ARG,2021-11-01,4.71
ARG,2021-12-01,4.68
ARG,2022-01-01,4.56
ARG,2022-02-01,4.39
ARG,2022-03-01,4.27
ARG,2022-04-01,4.12
ARG,2022-05-01,4.05
ARG,2022-06-01,3.91
ARG,2022-07-01,3.86
ARG,2022-08-01,3.62
ARG,2022-09-01,3.48
ARG,2022-10-01,3.31
ARG,2022-11-01,3.07
ARG,2022-12-01,2.82
ARG,2023-01-01,2.64
ARG,2023-02-01,2.51
ARG,2023-03-01,2.39
ARG,2023-04-01,2.2
ARG,2023-05-01,2.07
ARG,2023-06-01,1.91
ARG,2023-07-01,1.77
ARG,2023-08-01,1.49
ARG,2023-09-01,1.39
ARG,2023-10-01,1.4
ARG,2023-11-01,1.36
ARG,2023-12-01,0.75
ARG,2024-01-01,0.59
ARG,2024-02-01,0.58
ARG,2024-03-01,0.57
ARG,2024-04-01,0.57
ARG,2024-05-01,0.55
ARG,2024-06-01,0.55
ARG,2024-07-01,0.54
ARG,2024-08-01,0.53
ARG,2024-09-01,0.51
ARG,2024-10-01,0.51
ARG,2024-11-01,0.51
ARG,2024-12-01,0.51
ARG,2025-01-01,0.5
ARG,2025-02-01,0.48
ARG,2025-03-01,0.47
ARG,2025-04-01,0.45
ARG,2025-05-01,0.43
ARG,2025-06-01,0.41
ARM,1993-01-01,7233.63
ARM,1993-02-01,6223.71
ARM,1993-03-01,5507.95
ARM,1993-04-01,4793.69
ARM,1993-05-01,4137.4
ARM,1993-06-01,3468.49
ARM,1993-07-01,3722.47
ARM,1993-08-01,3909.73
ARM,1993-09-01,3370.83
ARM,1993-10-01,2113.56
ARM,1993-11-01,1542.09
ARM,1993-12-01,409.97
ARM,1994-01-01,225.13
ARM,1994-02-01,160.45
ARM,1994-03-01,107.23
ARM,1994-04-01,84.79
ARM,1994-05-01,69.14
ARM,1994-06-01,68.82
ARM,1994-07-01,69.13
ARM,1994-08-01,67.59
ARM,1994-09-01,63.8
ARM,1994-10-01,60.27
ARM,1994-11-01,54.98
ARM,1994-12-01,54.66
ARM,1995-01-01,56.14
ARM,1995-02-01,56.4
ARM,1995-03-01,55.8
ARM,1995-04-01,54.85
ARM,1995-05-01,55.22
ARM,1995-06-01,54.6
ARM,1995-07-01,54.48
ARM,1995-08-01,55.38
ARM,1995-09-01,56.26
ARM,1995-10-01,56.63
ARM,1995-11-01,56.59
ARM,1995-12-01,57.32
ARM,1996-01-01,58.06
ARM,1996-02-01,58.34
ARM,1996-03-01,58.59
ARM,1996-04-01,58.97
ARM,1996-05-01,59.68
ARM,1996-06-01,59.45
ARM,1996-07-01,58.71
ARM,1996-08-01,57.89
ARM,1996-09-01,59.12
ARM,1996-10-01,59.35
ARM,1996-11-01,56.36
ARM,1996-12-01,57.23
ARM,1997-01-01,57.01
ARM,1997-02-01,57.23
ARM,1997-03-01,56.64
ARM,1997-04-01,56.5
ARM,1997-05-01,55.3
ARM,1997-06-01,53.72
ARM,1997-07-01,55.67
ARM,1997-08-01,57.13
ARM,1997-09-01,56.7
ARM,1997-10-01,56.44
ARM,1997-11-01,56.42
ARM,1997-12-01,57.97
ARM,1998-01-01,59.54
ARM,1998-02-01,59.25
ARM,1998-03-01,59.32
ARM,1998-04-01,59.31
ARM,1998-05-01,58.84
ARM,1998-06-01,59.5
ARM,1998-07-01,59.82
ARM,1998-08-01,60.78
ARM,1998-09-01,62.4
ARM,1998-10-01,61.03
ARM,1998-11-01,61.6
ARM,1998-12-01,61.96
ARM,1999-01-01,60.91
ARM,1999-02-01,61.57
ARM,1999-03-01,63.74
ARM,1999-04-01,64.89
ARM,1999-05-01,64.66
ARM,1999-06-01,64.73
ARM,1999-07-01,65.22
ARM,1999-08-01,64.86
ARM,1999-09-01,66.19
ARM,1999-10-01,67.34
ARM,1999-11-01,68.5
ARM,1999-12-01,69.43
ARM,2000-01-01,69.22
ARM,2000-02-01,70.56
ARM,2000-03-01,71.34
ARM,2000-04-01,71.68
ARM,2000-05-01,73.33
ARM,2000-06-01,70.28
ARM,2000-07-01,70.08
ARM,2000-08-01,72.58
ARM,2000-09-01,74.34
ARM,2000-10-01,74.63
ARM,2000-11-01,73.36
ARM,2000-12-01,71.73
ARM,2001-01-01,70.4
ARM,2001-02-01,71.69
ARM,2001-03-01,73.95
ARM,2001-04-01,75.33
ARM,2001-05-01,75.08
ARM,2001-06-01,76.14
ARM,2001-07-01,76.33
ARM,2001-08-01,74.57
ARM,2001-09-01,74.44
ARM,2001-10-01,74.14
ARM,2001-11-01,74.23
ARM,2001-12-01,74.06
ARM,2002-01-01,74.72
ARM,2002-02-01,75.36
ARM,2002-03-01,74.2
ARM,2002-04-01,72.9
ARM,2002-05-01,71.41
ARM,2002-06-01,70.16
ARM,2002-07-01,70.67
ARM,2002-08-01,72.27
ARM,2002-09-01,71.5
ARM,2002-10-01,69.57
ARM,2002-11-01,68.31
ARM,2002-12-01,67.57
ARM,2003-01-01,66.29
ARM,2003-02-01,65.44
ARM,2003-03-01,64.9
ARM,2003-04-01,64.81
ARM,2003-05-01,62.32
ARM,2003-06-01,61.89
ARM,2003-07-01,63.38
ARM,2003-08-01,64.35
ARM,2003-09-01,64.32
ARM,2003-10-01,63.92
ARM,2003-11-01,63.83
ARM,2003-12-01,61.87
ARM,2004-01-01,60.3
ARM,2004-02-01,60.55
ARM,2004-03-01,61.77
ARM,2004-04-01,63.29
ARM,2004-05-01,64.3
ARM,2004-06-01,64.79
ARM,2004-07-01,66.46
ARM,2004-08-01,67.94
ARM,2004-09-01,68.38
ARM,2004-10-01,68.32
ARM,2004-11-01,66.9
ARM,2004-12-01,67.6
ARM,2005-01-01,67.57
ARM,2005-02-01,70.36
ARM,2005-03-01,70.82
ARM,2005-04-01,74.74
ARM,2005-05-01,75.35
ARM,2005-06-01,77.33
ARM,2005-07-01,79.1
ARM,2005-08-01,74.88
ARM,2005-09-01,76.0
ARM,2005-10-01,77.97
ARM,2005-11-01,77.42
ARM,2005-12-01,78.59
ARM,2006-01-01,76.98
ARM,2006-02-01,77.8
ARM,2006-03-01,77.38
ARM,2006-04-01,76.52
ARM,2006-05-01,76.41
ARM,2006-06-01,80.76
ARM,2006-07-01,81.24
ARM,2006-08-01,83.55
ARM,2006-09-01,86.96
ARM,2006-10-01,88.89
ARM,2006-11-01,88.81
ARM,2006-12-01,90.02
ARM,2007-01-01,91.22
ARM,2007-02-01,92.78
ARM,2007-03-01,91.37
ARM,2007-04-01,88.75
