iso3,GAIN,date
ATG,1.01984608717579,1997-01-01
ATG,0.832215259341538,1998-01-01
ATG,0.618195605682324,1999-01-01
ATG,0.261264758799285,2000-01-01
ATG,0.624859142983347,2001-01-01
ATG,0.747507703952891,2002-01-01
ATG,0.418857622527021,2003-01-01
ATG,-0.1103807397227,2004-01-01
ATG,-0.0982888217115985,2005-01-01
ATG,-1.29322288374692,2006-01-01
ATG,-2.12150051016458,2007-01-01
ATG,-1.56311820987875,2008-01-01
ATG,0.224451863349181,2009-01-01
ATG,1.26535255090632,2010-01-01
ATG,0.823994757855139,2011-01-01
ATG,1.8717779182539,2012-01-01
ATG,2.05146643922559,2013-01-01
ATG,0.0137981141182024,2014-01-01
ATG,0.0094364873795314,2015-01-01
ATG,-0.178787759621265,2016-01-01
ATG,-2.20144813301759,2017-01-01
ATG,-3.04904557744126,2018-01-01
ATG,-3.56623088267268,2019-01-01
ATG,-2.11787829002709,2020-01-01
ATG,-3.41680054989944,2021-01-01
ATG,-4.69370460114146,2022-01-01
ATG,-5.4103809646455,2023-01-01
AUS,14.9460188584486,1995-01-01
AUS,14.6869527563373,1996-01-01
AUS,14.2943802627704,1997-01-01
AUS,13.9524145588721,1998-01-01
AUS,13.8206466028793,1999-01-01
AUS,13.773611770646,2000-01-01
AUS,13.627305025787,2001-01-01
AUS,13.1680495197211,2002-01-01
AUS,13.4351180426014,2003-01-01
AUS,13.4981183154891,2004-01-01
AUS,13.2458019921258,2005-01-01
AUS,14.6767832206472,2006-01-01
AUS,14.4441038789594,2007-01-01
AUS,14.5079501748648,2008-01-01
AUS,13.1020571244393,2009-01-01
AUS,13.8270750904037,2010-01-01
AUS,12.8898900658962,2011-01-01
AUS,12.5054284059709,2012-01-01
AUS,11.2882866415395,2013-01-01
AUS,11.0172277140184,2014-01-01
AUS,11.3057612220544,2015-01-01
AUS,10.4860170901921,2016-01-01
AUS,9.468200214239,2017-01-01
AUS,9.58390487889626,2018-01-01
AUS,8.72426607742347,2019-01-01
AUS,7.27214343881241,2020-01-01
AUS,6.56515124897891,2021-01-01
AUS,3.55843941340036,2022-01-01
AUS,1.83966739282046,2023-01-01
AUT,15.2411917964994,1995-01-01
AUT,15.2008610648833,1996-01-01
AUT,15.3261785123153,1997-01-01
AUT,15.2028465154509,1998-01-01
AUT,15.1083739615088,1999-01-01
AUT,14.6538195894578,2000-01-01
AUT,14.947645087938,2001-01-01
AUT,14.7080968619608,2002-01-01
AUT,14.6098902599303,2003-01-01
AUT,14.4596230323233,2004-01-01
AUT,13.9970410276963,2005-01-01
AUT,14.4174191861994,2006-01-01
AUT,14.4237472957101,2007-01-01
AUT,13.1023804524633,2008-01-01
AUT,12.351407099979,2009-01-01
AUT,12.0786277878021,2010-01-01
AUT,10.7860611294814,2011-01-01
AUT,10.0784608562804,2012-01-01
AUT,10.5737852421157,2013-01-01
AUT,10.5708356128847,2014-01-01
AUT,10.3765795218562,2015-01-01
AUT,8.78060733059904,2016-01-01
AUT,8.26184252415378,2017-01-01
